Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
albright college,1621 N. 13th St. Reading PA 19612,(40.36058 -75.91146),$40854,$40854,342,('76%' '81%' '69%'),5786,('54%' '46%'),8%,Co-ed,('47%' '53%'),68%,2%,3%,21%,12%,1%,11%,53%
alcorn state university,1000 ASU Dr Ste 359 Alcorn State MS 39096,(31.87607 -91.14006),$19066,$19066,402,('39%' '40%' '34%'),4819,('70%' '30%'),21%,Co-ed,('68%' '32%'),73%,3%,1%,93%,1%,&lt; 1%,2%,4%
alderson broaddus university,101 College Hill Drive Philippi WV 26416,(39.15831 -80.04824),$39880,$39880,262,('67%' '62%' '68%'),1736,('36%' '64%'),23%,Co-ed,('30%' '70%'),51%,6%,1%,24%,5%,1%,1%,68%
alexandria technical and community college,1601 Jefferson Streeet Alexandria MN 56308,(45.87371 -95.37194),$5910,$5910,373,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,1%,1%,3%,&lt; 1%,9%,85%
alfred university,One Saxon Drive Alfred NY 14802,(42.25395 -77.79033),$46916,$48012,388,('67%' '70%' '63%'),6243,('52%' '48%'),9%,Co-ed,('50%' '50%'),73%,6%,2%,10%,7%,&lt; 1%,18%,63%
alice lloyd college,100 Purpose Rd Pippa Passes KY 41844,(37.33796 -82.87093),$21620,$21620,203,('36%' '34%' '37%'),2119,('60%' '40%'),27%,Co-ed,('49%' '51%'),48%,1%,1%,2%,3%,&lt; 1%,2%,92%
allan hancock college,800 South College Drive Santa Maria CA 93454-6399,(34.94305 -120.4218),$1146,$7842,691,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,3%,2%,68%,1%,6%,20%
allegany college of maryland,12401 Willowbrook Rd SE Cumberland MD 21502-2596,(39.6491 -78.7318),$19070,$21080,250,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,1%,1%,9%,3%,&lt; 1%,4%,83%
allegheny college,520 N Main St Meadville PA 16335,(41.64792 -80.14609),$65950,$65950,408,('75%' '80%' '70%'),4667,('50%' '50%'),12%,Co-ed,('50%' '50%'),82%,4%,3%,9%,9%,&lt; 1%,7%,72%
allegheny wesleyan college,2161 Woodsdale Rd Salem OH 44460,(40.86694 -80.86034),$10800,$10800,70,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,1%,&lt; 1%,&lt; 1%,&lt; 1%,1%,98%
allen county community college,1801 N Cottonwood Iola KS 66749,(37.93824 -95.39793),$9380,$9380,324,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),56%,5%,2%,6%,6%,1%,6%,79%
allen university,1530 Harden Street Columbia SC 29204,(34.01047 -81.02047),$21234,$21234,129,('57%' '57%' '55%'),1425,('58%' '42%'),16%,Co-ed,('34%' '66%'),37%,0%,1%,94%,1%,&lt; 1%,3%,1%
alliance university,1 South Blvd Nyack NY 10960,(41.08644 -73.92894),$41500,$41500,116,('100%' '100%' '99%'),284,('54%' '46%'),41%,Co-ed,('41%' '59%'),72%,6%,9%,31%,31%,1%,6%,22%
alma college,614 W Superior Alma MI 48801,(43.37899 -84.66758),$56010,$56010,319,('69%' '75%' '61%'),2908,('52%' '48%'),16%,Co-ed,('55%' '45%'),79%,2%,2%,3%,5%,&lt; 1%,12%,78%
alpena community college,665 Johnson St Alpena MI 49707,(45.0799 -83.44494),$14470,$14470,164,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,0%,2%,2%,2%,3%,1%,90%
alvernia university,400 Saint Bernardine St Reading PA 19607,(40.3109 -75.926),$52960,$52960,403,('58%' '67%' '48%'),5371,('49%' '51%'),13%,Co-ed,('55%' '45%'),74%,0%,2%,10%,9%,&lt; 1%,8%,70%
alverno college,3400 S 43rd  St Milwaukee WI 53234,(42.98307 -87.96798),$40028,$40028,113,('91%' '90%' '0%'),666,('100%' '0%'),19%,All-female,('100%' '0%'),68%,1%,6%,14%,27%,1%,4%,49%
alvin community college,3110 Mustang Rd Alvin TX 77511-4898,(29.39554 -95.23837),$2834,$4010,201,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,1%,9%,15%,39%,1%,1%,35%
amarillo college,2011 S. Washington Amarillo TX 79109,(35.19183 -101.8486),$1128,$2664,971,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,3%,6%,45%,1%,4%,41%
american academy mcallister institute of funeral service,1501 Broadway 11th Floor Suite 1102 New York NY 10036,(40.75701 -73.98619),$18292,$18292,12,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,1%,24%,13%,1%,8%,53%
american academy of art college,332 S Michigan Ave Chicago IL 60604-4302,(41.87735 -87.62439),$36482,$36482,19,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,3%,12%,37%,1%,3%,44%
american academy of dramatic arts new york,120 Madison Ave New York NY 10016,(40.74547 -73.98463),$57505,$57505,84,('58%' '61%' '50%'),331,('65%' '35%'),44%,Co-ed,('63%' '37%'),63%,31%,6%,12%,13%,&lt; 1%,13%,56%
american baptist college,1800 Baptist World Ctr Dr Nashville TN 37207,(36.20358 -86.78938),$21114,$21114,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),67%,4%,&lt; 1%,97%,2%,&lt; 1%,&lt; 1%,2%
american intercontinental university atlanta,6600 Peachtree Dunwoody Road 500 Embassy Row Atlanta GA 30328,(33.93666 -84.35353),$13341,$13341,96,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),23%,0%,&lt; 1%,50%,&lt; 1%,&lt; 1%,40%,9%
american international college aic,1000 State Street Springfield MA 01109,(42.11356 -72.55772),$54170,$54170,340,('58%' '60%' '55%'),3494,('50%' '50%'),17%,Co-ed,('45%' '55%'),64%,3%,2%,24%,21%,1%,14%,39%
american jewish university,15600 Mulholland Dr Los Angeles CA 90077-1519,(34.12957 -118.47155),unknown,unknown,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
american musical and dramatic academy,211 West 61st Street New York NY 10023,(40.77212 -73.9878),$57540,$57540,440,('22%' '22%' '19%'),9727,('71%' '29%'),21%,Co-ed,('74%' '26%'),73%,4%,3%,18%,27%,&lt; 1%,13%,39%
american national university,1813 East Main Street Salem VA 24153,(37.29999 -80.02339),$10288,$10288,29,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),33%,0%,11%,32%,2%,2%,22%,31%
american national university pikeville,50 National College Boulevard Pikeville KY 41501-1520,(37.538637 -82.606374),$10354,$10354,3,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
american river college,4700 College Oak Dr Sacramento CA 95841-4286,(38.64937 -121.34831),$1288,$8880,1032,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,0%,13%,7%,28%,2%,12%,39%
american university,4400 Massachusetts Ave NW Washington DC 20016,(38.93945 -77.08799),$68484,$68484,2372,('64%' '65%' '61%'),19650,('65%' '35%'),19%,Co-ed,('65%' '35%'),88%,12%,8%,8%,14%,&lt; 1%,10%,60%
american university in bulgaria,n/a,n/a,$8532,$8532,250,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
american university of health sciences,1600 East Hill St Signal Hill CA 90755-3612,(33.79659 -118.17159),$22975,$22975,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
american university of puerto rico bayamon,Carr. #2 Km.14.4 Bo. Hato Tejas Bayamon PR 00960-2037,(18.41876 -66.16048),$6751,$6751,28,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,0%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
american university of puerto rico manati,Carretera Estatal #2 Km.48.1 Manati PR 00674-1082,(18.43323 -66.49645),$6751,$6751,34,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),45%,0%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
amherst college,Boltwood Avenue Amherst MA 01002,(42.37388 -72.51889),$77250,$77250,515,('9%' '9%' '8%'),13999,('55%' '45%'),42%,Co-ed,('56%' '44%'),96%,9%,16%,12%,14%,1%,9%,49%
anderson university indiana,1100 E 5th St Anderson IN 46012,(40.11307 -85.66584),$44660,$44660,317,('62%' '68%' '54%'),4391,('55%' '45%'),12%,Co-ed,('45%' '55%'),64%,2%,2%,9%,2%,1%,3%,82%
anderson university south carolina,316 Boulevard Anderson SC 29621,(34.51221 -82.6379),$41620,$41620,776,('50%' '50%' '50%'),4510,('71%' '29%'),34%,Co-ed,('68%' '32%'),79%,1%,1%,6%,4%,&lt; 1%,5%,85%
andrew college,501College St Cuthbert GA 39840-5550,(31.77179 -84.79514),$29942,$29942,91,('51%' '50%' '51%'),750,('62%' '38%'),24%,Co-ed,('39%' '61%'),56%,0%,&lt; 1%,43%,7%,&lt; 1%,7%,42%
andrews university,4150 Administration Drive Room 136 Berrien Springs MI 49104,(41.96326 -86.35597),$40750,$40750,256,('82%' '84%' '78%'),1109,('53%' '47%'),28%,Co-ed,('48%' '52%'),82%,14%,17%,19%,19%,&lt; 1%,8%,36%
angelina college,3500 South First Lufkin TX 75902-1768,(31.28755 -94.73023),$10530,$11880,478,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,2%,1%,14%,31%,1%,4%,49%
angelo state university,2601 W. Avenue N San Angelo TX 76909,(31.44347 -100.46626),$18166,$27958,1286,('70%' '70%' '69%'),3515,('59%' '41%'),52%,Co-ed,('59%' '41%'),67%,3%,2%,6%,36%,&lt; 1%,3%,53%
anglo american university,n/a,n/a,$16112,$16112,250,('60%' '59%' '59%'),2688,('59%' '41%'),14%,Co-ed,('76%' '24%'),80%,n/a
