Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
emory and henry college,30461 Garnand Drive Emory VA 24327,(36.7723 -81.83227),$48765,$48765,390,('87%' '90%' '83%'),2260,('53%' '47%'),20%,Co-ed,('46%' '54%'),74%,1%,2%,9%,4%,1%,8%,78%
emory university,408 Administration Building 201 Dowman Drive Atlanta GA 30322,(33.78962 -84.32556),$71770,$71770,1494,('13%' '12%' '14%'),33435,('61%' '39%'),34%,Co-ed,('59%' '41%'),95%,18%,23%,10%,11%,&lt; 1%,8%,48%
emporia state university,1 Kellogg Circle Emporia KS 66801,(38.41379 -96.18026),$16535,$24452,481,('88%' '88%' '88%'),1419,('65%' '35%'),38%,Co-ed,('61%' '39%'),75%,9%,1%,5%,8%,&lt; 1%,11%,75%
endicott college,376 Hale Street Beverly MA 01915,(42.55089 -70.83956),$53148,$53148,803,('77%' '79%' '73%'),5055,('62%' '38%'),21%,Co-ed,('64%' '36%'),83%,2%,1%,3%,5%,&lt; 1%,7%,83%
ensign college,95 North 300 West Salt Lake City UT 84101-3500,(40.77108 -111.89969),$3656,$3656,460,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
erie community college,121 Ellicott St Buffalo NY 14203-2698,(42.88209 -78.87321),$5722,$10769,1662,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,1%,6%,15%,7%,1%,15%,56%
erie institute of technology inc,940 Millcreek Mall Erie PA 16565,(42.07078 -80.10046),$14348,$14348,80,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),82%,0%,4%,6%,5%,&lt; 1%,&lt; 1%,85%
erskine college,2 Washington St Due West SC 29639,(34.33077 -82.3914),$47975,$47975,265,('63%' '62%' '62%'),1050,('42%' '58%'),40%,Co-ed,('34%' '66%'),54%,0%,3%,13%,3%,1%,24%,55%
escuela de artes plasticas y diseno de puerto rico,Barrio Ballaja Campo Del Morro San Juan PR 00902-1112,(20.37496 -90.04709),$4182,$7062,103,('99%' '98%' '100%'),113,('80%' '20%'),96%,Co-ed,('81%' '19%'),73%,0%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
essex county college,303 University Ave Newark NJ 07102,(40.73758 -74.1761),$8966,$8966,697,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,10%,4%,52%,30%,&lt; 1%,7%,7%
estrella mountain community college,3000 N Dysart Rd Avondale AZ 85392-1000,(33.48242 -112.34457),$2070,$7854,636,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,0%,4%,7%,56%,1%,6%,26%
eti technical college,2076 Youngstown Warren Rd Niles OH 44446-4398,(41.1823 -80.71778),$10502,$10502,8,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),75%,0%,1%,26%,2%,&lt; 1%,1%,71%
eureka college,300 E. College Avenue Eureka IL 61530,(40.71335 -89.26861),$38589,$38589,119,('87%' '88%' '85%'),877,('29%' '71%'),16%,Co-ed,('34%' '66%'),62%,3%,1%,7%,3%,&lt; 1%,5%,84%
evangel university,1111 N Glenstone Springfield MO 65802,(37.22079 -93.26156),$34788,$34788,307,('64%' '63%' '64%'),1224,('60%' '40%'),39%,Co-ed,('52%' '48%'),79%,1%,2%,4%,6%,&lt; 1%,6%,82%
everett community college,2000 Tower Street Everett WA 98201,(48.006211 -122.204618),$17012,$22547,1025,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,2%,9%,4%,16%,1%,16%,54%
everglades university,5002 T-Rex Avenue Suite 100 Boca Raton FL 33431,(26.3921 -80.10677),$18920,$18920,258,('60%' '64%' '56%'),854,('48%' '52%'),50%,Co-ed,('53%' '47%'),78%,0%,1%,20%,22%,2%,10%,45%
evergreen state college,2700 Evergreen Pkwy NW Olympia WA 98505,(47.06949 -122.97409),$21678,$42321,234,('99%' '99%' '99%'),1108,('63%' '37%'),21%,Co-ed,('59%' '41%'),66%,1%,3%,5%,11%,2%,12%,66%
evergreen valley college,3095 Yerba Buena Rd San Jose CA 95135-1598,(37.29784 -121.76144),$1366,$8286,576,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),78%,1%,41%,2%,43%,1%,5%,8%
fairfield university,1073 N Benson Rd Fairfield CT 06824,(41.16181 -73.25438),$68980,$68980,1256,('56%' '53%' '58%'),12674,('59%' '41%'),18%,Co-ed,('56%' '44%'),90%,3%,2%,2%,7%,&lt; 1%,12%,76%
fairleigh dickinson university florham campus,285 Madison Ave Madison NJ 07940,(40.77334 -74.43945),$47149,$47149,488,('85%' '86%' '81%'),4125,('53%' '47%'),14%,Co-ed,('52%' '48%'),85%,0%,5%,8%,18%,&lt; 1%,10%,58%
fairleigh dickinson university metropolitan campus,1000 River Rd Teaneck NJ 07666,(40.89761 -74.02802),$47152,$47152,463,('85%' '86%' '82%'),3982,('55%' '45%'),14%,Co-ed,('50%' '50%'),80%,4%,6%,8%,32%,&lt; 1%,14%,39%
fairmont state university,1201 Locust Ave Fairmont WV 26554,(39.48191 -80.15942),$17914,$27172,655,('99%' '98%' '98%'),1767,('61%' '39%'),38%,Co-ed,('58%' '42%'),66%,2%,1%,5%,2%,&lt; 1%,4%,88%
faith baptist bible college and theological seminary,1900 NW 4th St Ankeny IA 50023-2152,(41.73691 -93.62396),$25498,$25498,80,('56%' '53%' '58%'),228,('55%' '45%'),66%,Co-ed,('51%' '49%'),80%,4%,2%,2%,4%,1%,6%,86%
farmingdale state college,2350 Broadhollow Road Farmingdale NY 11735,(40.75463 -73.42226),$22046,$31956,1619,('73%' '70%' '74%'),6995,('45%' '55%'),32%,Co-ed,('38%' '62%'),84%,1%,6%,6%,13%,&lt; 1%,34%,40%
fashion institute of technology,227 W 27th St New York NY 10001,(40.7471 -73.99494),$32913,$43493,1262,('52%' '52%' '47%'),4705,('83%' '17%'),52%,Co-ed,('84%' '16%'),89%,12%,13%,11%,22%,&lt; 1%,5%,49%
faulkner university,5345 Atlanta Hwy Montgomery AL 36109,(32.38292 -86.21837),$31390,$31390,233,('65%' '66%' '62%'),1791,('56%' '44%'),20%,Co-ed,('44%' '56%'),54%,2%,1%,46%,2%,&lt; 1%,4%,47%
fayetteville state university fsu,1200 Murchison Rd Fayetteville NC 28301,(35.07156 -78.89453),$14819,$26427,632,('82%' '85%' '75%'),4135,('69%' '31%'),19%,Co-ed,('66%' '34%'),69%,1%,3%,58%,8%,2%,9%,20%
fayetteville technical community college,2201 Hull Rd Fayetteville NC 28303-0236,(35.06645 -78.92566),$2544,$8688,448,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),59%,1%,2%,38%,13%,4%,5%,37%
feather river community college district,570 Golden Eagle Ave Quincy CA 95971-9124,(39.95046 -120.96938),$12382,$20452,164,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),82%,1%,3%,10%,32%,4%,13%,38%
felician university,262 S Main St Lodi NJ 07644,(40.86566 -74.09332),$49100,$49100,306,('92%' '93%' '88%'),2307,('65%' '35%'),14%,Co-ed,('62%' '38%'),77%,3%,6%,23%,29%,&lt; 1%,13%,29%
ferris state university,1201 S State St Big Rapids MI 49307,(43.68478 -85.48353),$23080,$23080,1405,('85%' '85%' '83%'),10480,('61%' '39%'),16%,Co-ed,('50%' '50%'),76%,2%,2%,8%,6%,1%,5%,79%
ferrum college,215 Ferrum Mountain Road Ferrum VA 24088,(36.92703 -80.01939),$49230,$49230,220,('76%' '76%' '76%'),1671,('43%' '57%'),17%,Co-ed,('33%' '67%'),49%,1%,1%,34%,5%,1%,10%,50%
fidm fashion institute of design and merchandising los angeles,919 S Grand Ave Los Angeles CA 90015-1421,(34.04418 -118.25952),$32645,$32645,290,('36%' '35%' '39%'),1490,('81%' '19%'),54%,Co-ed,('78%' '22%'),89%,15%,14%,10%,30%,2%,5%,38%
fine mortuary college,150 Kerry Place Norwood MA 02062,(42.18133 -71.193),$20520,$20520,1,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),100%,0%,&lt; 1%,7%,6%,1%,2%,84%
finger lakes community college,3325 Marvin Sands Drive Canandaigua NY 14424-8395,(42.86787 -77.2415),$16316,$17304,882,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),47%,0%,2%,6%,8%,&lt; 1%,7%,77%
finlandia university,601 Quincy St Hancock MI 49930,(47.12654 -88.58906),$33962,$33962,127,('78%' '76%' '78%'),1836,('21%' '79%'),9%,Co-ed,('29%' '71%'),68%,2%,2%,9%,4%,2%,19%,64%
fisher college,118 Beacon Street Boston MA 02116,(42.35502 -71.07401),$50500,$50500,197,('72%' '77%' '64%'),2897,('60%' '40%'),9%,Co-ed,('55%' '45%'),72%,5%,1%,7%,6%,&lt; 1%,65%,21%
fisk university,1000 17th Ave North Nashville TN 37208,(36.16655 -86.80339),$34406,$34406,297,('61%' '61%' '61%'),4212,('75%' '25%'),12%,Co-ed,('67%' '33%'),81%,3%,1%,88%,2%,&lt; 1%,9%,1%
fitchburg state university,160 Pearl St Fitchburg MA 01420,(42.58787 -71.7899),$22320,$28400,567,('85%' '91%' '78%'),3414,('53%' '47%'),19%,Co-ed,('46%' '54%'),73%,0%,3%,10%,12%,&lt; 1%,6%,70%
five towns college,305 North Service Road Dix Hills NY 11746-5871,(40.78247 -73.41773),$38185,$38185,103,('46%' '37%' '50%'),474,('37%' '63%'),49%,Co-ed,('25%' '75%'),74%,2%,1%,16%,28%,1%,5%,49%
flagler college,74 King Street Saint Augustine FL 32084,(29.89204 -81.31458),$34210,$34210,742,('74%' '76%' '69%'),5381,('66%' '34%'),19%,Co-ed,('66%' '34%'),69%,4%,1%,4%,6%,&lt; 1%,9%,80%
flathead valley community college,777 Grandview Dr Kalispell MT 59901,(48.22775 -114.32642),$14993,$20915,213,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),50%,1%,1%,1%,3%,2%,13%,80%
fletcher technical community college,1407 Highway 311 Schriever LA 70395,(29.6916 -90.81288),$3981,$3981,232,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,1%,1%,21%,5%,6%,8%,59%
flint hills technical college,3301 W 18th St Emporia KS 66801-5957,(38.4192 -96.22419),$6520,$6520,87,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),73%,0%,1%,3%,20%,1%,4%,73%
florence darlington technical college,2715 W. Lucas Street Florence SC 29501-0548,(34.24483 -79.8163),$4870,$6742,372,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),47%,0%,1%,36%,2%,1%,17%,44%
florida a m university famu,1500 S Martin Luther King Jr Blvd Tallahassee FL 32307,(30.4285 -84.2856),$17429,$29369,1129,('35%' '35%' '34%'),8717,('71%' '29%'),37%,Co-ed,('70%' '30%'),81%,1%,1%,87%,3%,&lt; 1%,3%,7%
florida atlantic university fau,777 Glades Rd Administration Bldg. Room 339 Boca Raton FL 33431,(26.3656 -80.10444),$16909,$29354,3925,('78%' '79%' '75%'),25148,('62%' '38%'),20%,Co-ed,('57%' '43%'),82%,3%,5%,21%,28%,&lt; 1%,5%,42%
florida college,119 N Glen Arven Ave Temple Terrace FL 33617,(28.03426 -82.38429),$27750,$27750,188,('83%' '84%' '81%'),272,('55%' '45%'),84%,Co-ed,('55%' '45%'),62%,3%,1%,6%,9%,1%,7%,76%
florida gateway college,Highway 90 East Lake City FL 32025,(30.18637 -82.59707),$8500,$17147,218,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
florida gulf coast university,10501 Fgcu Blvd S Fort Myers FL 33965,(26.46201 -81.77604),$15890,$34934,3125,('89%' '90%' '87%'),14462,('62%' '38%'),24%,Co-ed,('58%' '42%'),78%,2%,2%,7%,21%,&lt; 1%,4%,65%
florida institute of technology florida tech,150 West University Boulevard Melbourne FL 32901,(28.06399 -80.62401),$53734,$53734,756,('66%' '63%' '67%'),10650,('39%' '61%'),11%,Co-ed,('29%' '71%'),81%,36%,5%,9%,12%,&lt; 1%,8%,65%
florida international university fiu,11200 S. W. 8 Street Miami FL 33199,(25.76106 -80.37628),$17641,$30039,4061,('64%' '64%' '63%'),16406,('60%' '40%'),39%,Co-ed,('57%' '43%'),90%,6%,3%,14%,71%,&lt; 1%,3%,10%
florida memorial university,15800 NW 42 Avenue Miami Gardens FL 33054,(25.91721 -80.26831),$24864,$24864,336,('57%' '56%' '56%'),3501,('65%' '35%'),17%,Co-ed,('48%' '52%'),57%,10%,&lt; 1%,81%,8%,&lt; 1%,11%,1%
florida national university main campus,4425 West. Jose Regueiro (20th) Avenue Hialeah FL 33012,(25.86291 -80.3224),$13688,$13688,321,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,16%,&lt; 1%,5%,91%,&lt; 1%,&lt; 1%,3%
florida polytechnic university,4700 Research Way Lakeland FL 33805,(28.135331 -81.844261),$16157,$32222,398,('55%' '51%' '55%'),2124,('22%' '78%'),34%,Co-ed,('16%' '84%'),79%,2%,5%,5%,19%,1%,4%,66%
florida southern college,111 Lake Hollingsworth Dr Lakeland FL 33801,(28.02981 -81.94394),$50986,$50986,792,('61%' '61%' '58%'),10751,('68%' '32%'),12%,Co-ed,('68%' '32%'),82%,4%,3%,7%,12%,1%,4%,74%
florida southwestern state college,8099 College Parkway Fort Myers FL 33919,(26.55695 -81.88844),$13901,$23479,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
florida state college at jacksonville,501 W State St Jacksonville FL 32202,(30.33441 -81.66266),$11374,$18488,3234,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
florida state university fsu,222 S. Copeland Street Tallahassee FL 32306,(30.44039 -84.29084),$17128,$30258,7619,('37%' '36%' '37%'),65235,('60%' '40%'),32%,Co-ed,('59%' '41%'),93%,2%,3%,9%,21%,&lt; 1%,5%,63%
fond du lac tribal and community college,2101 14th St Cloquet MN 55720-2342,(46.68899 -92.44912),$13607,$13607,64,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),42%,0%,1%,2%,3%,8%,11%,75%
fontbonne university,6800 Wydown Blvd Saint Louis MO 63105,(38.64163 -90.31549),$38900,$38900,113,('78%' '75%' '81%'),594,('56%' '44%'),24%,Co-ed,('49%' '51%'),74%,7%,3%,14%,2%,&lt; 1%,6%,75%
foothill college,12345 El Monte Rd Los Altos Hills CA 94022,(37.359696 -122.122193),$1395,$10620,653,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
fordham university,441 E Fordham Rd Bronx NY 10458,(40.86019 -73.88965),$77196,$77196,2879,('58%' '61%' '52%'),46275,('63%' '37%'),11%,Co-ed,('65%' '35%'),90%,8%,10%,4%,15%,&lt; 1%,9%,61%
forsyth technical community college,2100 Silas Creek Pky Winston-Salem NC 27103-5197,(36.06987 -80.26987),$2152,$7168,766,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,1%,2%,25%,17%,&lt; 1%,8%,49%
fort hays state university,600 Park St Hays KS 67601,(38.87204 -99.33991),$13844,$24284,955,('90%' '91%' '89%'),1997,('58%' '42%'),53%,Co-ed,('59%' '41%'),73%,28%,2%,6%,11%,1%,4%,77%
fort lewis college,1000 Rim Drive Durango CO 81301,(37.27393 -107.86942),$21016,$31672,960,('93%' '93%' '92%'),3795,('60%' '40%'),27%,Co-ed,('56%' '44%'),62%,2%,1%,1%,11%,26%,12%,49%
fort peck community college,605 Indian Street Poplar MT 59255-0398,(48.11355 -105.1936),$2250,$2250,7,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),38%,0%,1%,1%,&lt; 1%,77%,&lt; 1%,21%
fort scott community college,2108 S Horton Fort Scott KS 66701,(37.81574 -94.71373),$9825,$9825,284,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,1%,&lt; 1%,11%,6%,1%,5%,77%
fort valley state university,1005 State University Dr Fort Valley GA 31030,(32.54105 -83.89612),$14204,$24926,756,('72%' '72%' '72%'),5403,('52%' '48%'),19%,Co-ed,('61%' '39%'),75%,0%,&lt; 1%,92%,2%,&lt; 1%,2%,4%
fortis college baton rouge,14111 Airline Hwy Suite 101 Baton Rouge LA 70817,(30.36629 -91.02512),$15179,$15179,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),49%,0%,&lt; 1%,79%,2%,&lt; 1%,3%,16%
fortis college centerville,555 E Alex Bell Rd Centerville OH 45459-2712,(39.6446 -84.14555),$14710,$14710,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),47%,0%,1%,30%,1%,1%,8%,59%
fortis college norfolk,6300 Center Dr Bldg 22 Norfolk VA 23502-4101,(36.8468 -76.19018),$16305,$16305,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),22%,0%,2%,70%,6%,1%,8%,14%
fortis college richmond,2000 Westmoreland Street Suite A Richmond VA 23230,(37.58067 -77.48678),$14495,$14495,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),46%,0%,2%,72%,3%,1%,7%,15%
fortis college smyrna,2140 South Cobb Drive Smyrna GA 30080-1348,(33.90054 -84.54313),$14787,$14787,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),48%,0%,2%,64%,14%,1%,5%,15%
fortis institute forty fort,166 Slocum Street Forty Fort PA 18704-2936,(41.28222 -75.88314),$16863,$16863,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),67%,0%,1%,20%,24%,1%,6%,49%
fortis institute scranton,517 Ash Street Scranton PA 18509-2903,(41.41727 -75.65177),$28190,$28190,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),48%,0%,1%,20%,14%,&lt; 1%,7%,58%
fox college,18020 Oak Park Avenue Tinley Park IL 60477,(41.56404 -87.78516),$15440,$15440,24,('61%' '63%' '37%'),82,('90%' '10%'),48%,Co-ed,('91%' '9%'),44%,0%,6%,11%,30%,&lt; 1%,3%,50%
fox valley technical college,1825 N Bluemound Dr Appleton WI 54912-2277,(44.28218 -88.45665),$4746,$6861,242,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),75%,1%,4%,3%,6%,1%,9%,78%
framingham state university,100 State Street Framingham MA 01701,(42.29633 -71.43712),$24420,$30500,580,('84%' '86%' '79%'),5117,('58%' '42%'),14%,Co-ed,('54%' '46%'),70%,1%,4%,11%,14%,&lt; 1%,8%,64%
francis marion university,4822 East Palmetto Street Florence SC 29506,(34.19623 -79.65208),$19390,$29774,699,('86%' '86%' '85%'),3028,('69%' '31%'),27%,Co-ed,('67%' '33%'),67%,2%,1%,42%,2%,1%,4%,50%
franciscan missionaries of our lady university,5414 Brittany Dr Baton Rouge LA 70808,(30.40011 -91.11031),$14938,$14938,90,('55%' '53%' '60%'),519,('90%' '10%'),36%,Co-ed,('88%' '12%'),79%,0%,3%,19%,6%,1%,4%,66%
franciscan university of steubenville,1235 University Blvd Steubenville OH 43952,(40.37366 -80.61882),$39420,$39420,588,('68%' '69%' '66%'),2257,('61%' '39%'),38%,Co-ed,('58%' '42%'),86%,1%,2%,1%,13%,&lt; 1%,6%,79%
frank phillips college,1301 W. Roosevelt St. Borger TX 79008-5118,(35.65701 -101.40523),$8744,$9014,218,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,1%,1%,3%,28%,5%,11%,52%
franklin and marshall college f m,College Ave Lancaster PA 17604,(40.0439 -76.3195),$78146,$78146,510,('38%' '38%' '35%'),7720,('52%' '48%'),18%,Co-ed,('56%' '44%'),92%,15%,6%,7%,11%,&lt; 1%,8%,68%
franklin college,101 Branigin Blvd Franklin IN 46131,(39.479266 -86.047895),$45826,$45826,255,('95%' '95%' '93%'),1582,('48%' '52%'),17%,Co-ed,('41%' '59%'),76%,0%,1%,4%,3%,&lt; 1%,6%,86%
franklin pierce university,40 University Drive Rindge NH 03461,(42.7709 -72.05782),$56990,$56990,271,('89%' '89%' '87%'),3305,('53%' '47%'),9%,Co-ed,('51%' '49%'),60%,3%,1%,6%,5%,&lt; 1%,12%,76%
franklin university,201 S Grant Ave Columbus OH 43215,(39.95918 -82.99066),$9577,$9577,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),29%,1%,3%,17%,2%,1%,14%,62%
franklin w olin college of engineering olin,1000 Olin Way Needham MA 02492,(42.29282 -71.26458),$76982,$76982,91,('18%' '39%' '11%'),907,('22%' '78%'),56%,Co-ed,('53%' '47%'),100%,11%,12%,2%,9%,&lt; 1%,26%,51%
frederick community college,7932 Opossumtown Pike Frederick MD 21702-2964,(39.45059 -77.41289),$7444,$9844,648,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,3%,5%,13%,16%,&lt; 1%,6%,60%
freed hardeman university,158 E Main St Henderson TN 38340,(35.44039 -88.63958),$31250,$31250,371,('88%' '86%' '91%'),1147,('66%' '34%'),37%,Co-ed,('58%' '42%'),82%,2%,1%,4%,1%,1%,7%,86%
fresno city college,1101 E. University Ave Fresno CA 93741,(36.76674 -119.79865),$1104,$8304,1219,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,12%,5%,61%,1%,4%,18%
fresno pacific university,1717 S Chestnut Ave Fresno CA 93702,(36.72669 -119.73557),$42162,$42162,200,('78%' '78%' '77%'),917,('67%' '33%'),28%,Co-ed,('63%' '37%'),76%,2%,5%,5%,50%,1%,9%,30%
friends university,2100 W. University Ave. Wichita KS 67213,(37.67817 -97.36692),$38358,$38358,283,('58%' '53%' '60%'),1826,('43%' '57%'),27%,Co-ed,('41%' '59%'),75%,0%,1%,10%,11%,2%,19%,58%
front range community college,3645 W 112th Ave Westminster CO 80031,(39.90127 -105.03775),$4032,$15454,925,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
frontier community college,2 Frontier Drive Fairfield IL 62837,(38.38034 -88.39174),$10056,$12082,133,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,0%,1%,1%,2%,&lt; 1%,4%,92%
frostburg state university,101 Braddock Road Frostburg MD 21532,(39.64828 -78.93292),$21242,$35728,587,('86%' '87%' '84%'),4287,('54%' '46%'),16%,Co-ed,('49%' '51%'),77%,4%,2%,32%,6%,&lt; 1%,5%,54%
full sail university,3300 University Blvd Winter Park FL 32792-7429,(28.59661 -81.30078),$25687,$25687,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),76%,0%,2%,27%,18%,1%,15%,37%
fullerton college,321 E Chapman Avenue Fullerton CA 92832-2095,(33.87602 -117.91898),$1104,$7752,1713,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,1%,15%,3%,60%,&lt; 1%,6%,16%
fulton montgomery community college,2805 State Hwy 67 Johnstown NY 12095-3790,(42.98165 -74.29547),$5718,$5718,243,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),49%,2%,1%,3%,12%,&lt; 1%,20%,65%
furman university,3300 Poinsett Highway Greenville SC 29613,(34.92637 -82.43413),$67070,$67070,656,('71%' '74%' '67%'),7174,('58%' '42%'),13%,Co-ed,('57%' '43%'),88%,5%,2%,6%,6%,&lt; 1%,6%,79%
gallaudet university,800 Florida Ave NE Washington DC 20002,(38.90473 -76.99483),$32512,$32512,152,('62%' '62%' '60%'),402,('56%' '44%'),61%,Co-ed,('55%' '45%'),72%,6%,5%,17%,10%,1%,13%,54%
galveston college,4015 Ave Q Galveston TX 77550-7496,(29.28474 -94.80844),$9873,$12123,170,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
gannon university,109 W Sixth St Erie PA 16541,(42.12897 -80.08674),$49126,$49126,644,('84%' '86%' '79%'),4746,('56%' '44%'),16%,Co-ed,('55%' '45%'),83%,9%,2%,5%,3%,&lt; 1%,16%,73%
garden city community college,801 Campus Dr Garden City KS 67846-6333,(37.97125 -100.84736),$10276,$10846,426,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,3%,2%,8%,51%,1%,4%,34%
gardner webb university,Main St Boiling Springs NC 28017,(35.25021 -81.667383),$42740,$42740,447,('79%' '80%' '77%'),5657,('60%' '40%'),10%,Co-ed,('50%' '50%'),76%,0%,1%,15%,4%,1%,14%,66%
garrett college,687 Mosser Road McHenry MD 21541,(39.56056 -79.33928),$16944,$18736,159,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,1%,10%,3%,1%,3%,82%
gaston college,201 Hwy 321 S Dallas NC 28034,(35.39795 -81.20292),$2862,$9006,219,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,1%,2%,14%,7%,&lt; 1%,13%,65%
gateway community and technical college,500 Technology Way Florence KY 41042,(38.96044 -84.6332),$4568,$15320,232,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,0%,2%,7%,6%,&lt; 1%,6%,80%
gateway community college arizona,108 N. 40th Street Phoenix AZ 85034,(33.44917 -111.99536),$2070,$7854,212,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,0%,4%,10%,48%,3%,6%,29%
gateway community college connecticut,20 Church Street New Haven CT 06510,(41.30432 -72.92708),$4516,$13448,652,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,4%,23%,29%,&lt; 1%,6%,37%
gateway technical college,3520 30th Ave Kenosha WI 53144-1690,(42.60617 -87.84608),$4688,$6803,376,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,1%,8%,21%,&lt; 1%,8%,61%
gavilan college,5055 Santa Teresa Blvd Gilroy CA 95020,(36.97101 -121.5648),$1166,$7214,407,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,7%,2%,61%,1%,6%,24%
generations college,29 E. Madison Chicago IL 60602-4405,(41.88207 -87.62649),$12700,$12700,56,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),26%,0%,&lt; 1%,52%,19%,2%,4%,23%
genesee community college,One College Rd Batavia NY 14020-9704,(43.01667 -78.13893),$14565,$15165,522,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),51%,3%,1%,7%,5%,&lt; 1%,12%,75%
geneva college,3200 College Ave Beaver Falls PA 15010,(40.77381 -80.32307),$40820,$40820,245,('79%' '82%' '76%'),1551,('41%' '59%'),20%,Co-ed,('46%' '54%'),76%,2%,1%,9%,1%,&lt; 1%,6%,82%
george fox university gfu,414 N Meridian St Newberg OR 97132,(45.30317 -122.97054),$51220,$51220,647,('83%' '81%' '83%'),3957,('62%' '38%'),20%,Co-ed,('59%' '41%'),81%,2%,4%,2%,12%,1%,9%,71%
george mason university,4400 University Dr Fairfax VA 22030,(38.826841 -77.309705),$25749,$49209,3986,('91%' '93%' '89%'),20527,('55%' '45%'),21%,Co-ed,('48%' '52%'),87%,5%,20%,11%,15%,&lt; 1%,8%,45%
george washington university gw,2121 I Street NW Washington DC 20052,(38.90069 -77.04774),$75310,$75310,2571,('50%' '50%' '48%'),27236,('64%' '36%'),19%,Co-ed,('63%' '37%'),93%,11%,11%,8%,11%,&lt; 1%,12%,57%
georgetown college,400 East College Street Georgetown KY 40324,(38.208053 -84.556191),$52190,$52190,481,('75%' '76%' '71%'),2751,('64%' '36%'),23%,Co-ed,('57%' '43%'),63%,1%,1%,9%,3%,1%,9%,78%
georgetown university,37th and O St NW Washington DC 20057,(38.90856 -77.01018),$77715,$77715,1585,('12%' '11%' '12%'),27506,('61%' '39%'),48%,Co-ed,('60%' '40%'),96%,16%,11%,7%,11%,&lt; 1%,10%,60%
