Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
northwest technical college,905 Grant Avenue SE Bemidji MN 56601-4907,(47.45237 -94.85323),$6380,$6380,84,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,1%,4%,3%,7%,9%,77%
northwest university,5520 108th Ave NE Kirkland WA 98083,(47.65843 -122.19623),$43680,$43680,165,('96%' '96%' '94%'),473,('68%' '32%'),36%,Co-ed,('64%' '36%'),84%,8%,8%,4%,9%,2%,7%,70%
northwest vista college,3535 N. Ellison Drive San Antonio TX 78251,(29.46843 -98.70604),$6450,$13980,1059,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,0%,4%,6%,65%,&lt; 1%,5%,19%
northwestern college,101 Seventh St SW Orange City IA 51041,(42.9987 -96.05824),$43590,$43590,268,('83%' '86%' '80%'),1172,('41%' '59%'),28%,Co-ed,('50%' '50%'),75%,3%,1%,1%,5%,&lt; 1%,7%,85%
northwestern college illinois,7725 South Harlem Avenue Bridgeview IL 60455,(41.75148 -87.7977),$18475,$18475,22,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
northwestern connecticut community college,Park Pl E Winsted CT 06098,(41.92206 -73.05961),$4556,$13148,215,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,1%,2%,4%,16%,1%,4%,73%
northwestern health sciences university,2501 W 84th St Bloomington MN 55431,(44.85161 -93.31048),$11700,$11700,12,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
northwestern michigan college,1701 E Front St Traverse City MI 49686,(44.76419 -85.58423),$16819,$19091,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),93%,1%,1%,1%,4%,2%,7%,84%
northwestern oklahoma state university,709 Oklahoma Blvd Alva OK 73717,(36.79768 -98.66872),$13530,$20648,277,('59%' '58%' '61%'),1204,('62%' '38%'),39%,Co-ed,('58%' '42%'),60%,2%,1%,7%,9%,7%,9%,67%
northwestern state university of louisiana,175 Sam Sibley Drive Natchitoches LA 71497,(31.74834 -93.09285),$18601,$29389,1299,('96%' '96%' '95%'),3738,('68%' '32%'),36%,Co-ed,('67%' '33%'),71%,1%,1%,29%,6%,2%,6%,56%
northwestern university,633 Clark St Evanston IL 60208,(42.04994 -87.67932),$79032,$79032,2086,('7%' '7%' '6%'),47636,('54%' '46%'),63%,Co-ed,('55%' '45%'),97%,8%,18%,7%,13%,&lt; 1%,12%,50%
northwood technical college,505 Pine Ridge Drive Shell Lake WI 54871-8727,(45.7478 -91.91625),$4900,$6960,309,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,2%,2%,3%,3%,4%,87%
northwood university,4000 Whiting Dr Midland MI 48640,(43.62991 -84.2753),$41960,$41960,293,('83%' '86%' '81%'),1123,('30%' '70%'),31%,Co-ed,('31%' '69%'),79%,3%,1%,11%,7%,&lt; 1%,17%,63%
norwalk community college,188 Richards Avenue Norwalk CT 06854,(41.10236 -73.45083),$4586,$13538,435,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),59%,3%,5%,17%,41%,&lt; 1%,5%,32%
norwich university,158 Harmon Drive Northfield VT 05663,(44.13827 -72.65856),$59246,$59246,656,('87%' '86%' '87%'),3280,('33%' '67%'),23%,Co-ed,('29%' '71%'),79%,3%,3%,4%,10%,1%,9%,73%
nossi college of art,590 Creative Way Nashville TN 37115,(36.24274 -86.73825),$19150,$19150,82,('47%' '47%' '45%'),543,('65%' '35%'),32%,Co-ed,('70%' '30%'),72%,0%,2%,19%,5%,1%,3%,70%
notre dame college,4545 College Rd Cleveland OH 44121,(41.50775 -81.51621),$41808,$41808,223,('82%' '83%' '81%'),2470,('51%' '49%'),11%,Co-ed,('41%' '59%'),60%,4%,1%,28%,5%,&lt; 1%,7%,59%
notre dame of maryland university,4701 N Charles St Baltimore MD 21210,(39.35123 -76.62003),$52310,$52310,90,('65%' '65%' '0%'),1815,('99%' '1%'),8%,All-female,('100%' '0%'),69%,1%,7%,30%,10%,&lt; 1%,7%,45%
nova southeastern university nsu,3301 College Ave Fort Lauderdale FL 33314,(26.07879 -80.23975),$48704,$48704,1672,('93%' '93%' '90%'),11749,('71%' '29%'),15%,Co-ed,('72%' '28%'),79%,6%,10%,16%,30%,&lt; 1%,8%,36%
nuc university,Carr. #2 Edificio National College Plaza Bayamon PR 00960,(18.39859 -66.13283),$6919,$11995,4053,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),49%,0%,&lt; 1%,4%,92%,1%,1%,3%
nueta hidatsa sahnish college,301 College Drive New Town ND 58763,(47.984 -102.47195),$14310,$14310,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
nunez community college,3710 Paris Rd Chalmette LA 70043,(29.95341 -89.95847),$4255,$4255,161,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),46%,1%,2%,42%,6%,2%,4%,44%
oak hills christian college,1600 Oak Hills Rd SW Bemidji MN 56601,(47.42531 -94.90252),$24744,$24744,26,('63%' '71%' '56%'),126,('41%' '59%'),33%,Co-ed,('50%' '50%'),24%,0%,2%,7%,6%,5%,8%,71%
oakland city university,138 N Lucretia St Oakland City IN 47660,(38.33936 -87.35234),$36140,$36140,168,('73%' '74%' '70%'),913,('62%' '38%'),25%,Co-ed,('39%' '61%'),65%,1%,1%,5%,2%,1%,13%,79%
oakland community college,2480 Opdyke Rd Bloomfield Hills MI 48304-2266,(42.59632 -83.24673),$5000,$5000,907,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,6%,3%,20%,6%,1%,10%,61%
oakland university,2200 North Squirrel Road Rochester Hills MI 48309,(42.671551 -83.216471),$25126,$35900,2025,('92%' '92%' '91%'),10645,('64%' '36%'),21%,Co-ed,('57%' '43%'),76%,2%,5%,7%,4%,&lt; 1%,8%,75%
oakton community college,1600 E Golf Rd. Des Plaines IL 60016-1268,(42.05455 -87.8854),$10276,$12292,452,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,22%,8%,20%,&lt; 1%,8%,42%
oakwood university,7000 Adventist Blvd NW Huntsville AL 35896,(34.75403 -86.66006),$29364,$29364,284,('73%' '67%' '82%'),873,('66%' '34%'),45%,Co-ed,('57%' '43%'),71%,6%,&lt; 1%,89%,4%,1%,5%,1%
oberlin college,70 N Professor St Oberlin OH 44074,(41.29339 -82.21997),$78094,$78094,864,('34%' '37%' '30%'),10597,('58%' '42%'),24%,Co-ed,('57%' '43%'),89%,10%,4%,6%,9%,&lt; 1%,9%,72%
occidental college,1600 Campus Rd Los Angeles CA 90041,(34.12621 -118.21427),$75138,$75138,535,('38%' '40%' '34%'),6495,('59%' '41%'),22%,Co-ed,('57%' '43%'),90%,7%,15%,5%,15%,&lt; 1%,11%,54%
ocean county college,College Drive Toms River NJ 08754-2001,(40.00541 -74.16359),$5790,$8100,1407,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,2%,2%,5%,17%,&lt; 1%,11%,65%
oconee fall line technical college,1189 Deepstep Rd Sandersville GA 31082,(32.99831 -82.83584),$3072,$5472,56,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,&lt; 1%,47%,3%,&lt; 1%,2%,47%
odessa college,201 W University Blvd Odessa TX 79764,(31.86815 -102.38124),$9399,$10296,660,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,1%,6%,67%,1%,4%,22%
ogeechee technical college,One Joseph E. Kennedy Blvd Statesboro GA 30458,(32.39474 -81.82064),$3140,$5540,152,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,1%,32%,14%,1%,4%,50%
oglala lakota college,490 Piya Wiconi Road Kyle SD 57752,(43.42518 -102.17276),$9884,$9884,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),63%,0%,&lt; 1%,&lt; 1%,1%,93%,&lt; 1%,5%
oglethorpe university,4484 Peachtree Road NE Atlanta GA 30319,(33.8757 -84.33423),$56954,$56954,404,('81%' '82%' '78%'),2271,('64%' '36%'),22%,Co-ed,('64%' '36%'),80%,7%,4%,21%,9%,1%,32%,33%
ohio business college sandusky,5202 Timber Commons Drive Sandusky OH 44870-5871,(41.41498 -82.6671),$9385,$9385,8,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),50%,0%,&lt; 1%,33%,6%,&lt; 1%,11%,50%
ohio business college sheffield,5095 Waterford Dr. Sheffield Village OH 44035-0701,(41.42414 -82.07398),$9385,$9385,48,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),76%,0%,1%,25%,20%,&lt; 1%,7%,48%
ohio christian university,1476 Lancaster Pike Circleville OH 43113,(39.61161 -82.9034),$31290,$31290,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),70%,0%,1%,26%,2%,&lt; 1%,22%,49%
ohio dominican university,1216 Sunbury Road Columbus OH 43219,(39.99251 -82.94043),$44830,$44830,180,('54%' '55%' '52%'),2185,('49%' '51%'),15%,Co-ed,('46%' '54%'),65%,2%,2%,24%,4%,&lt; 1%,17%,53%
ohio northern university onu,525 S. Main St Ada OH 45810,(40.76644 -83.82454),$48030,$48030,738,('69%' '72%' '65%'),5205,('47%' '53%'),21%,Co-ed,('45%' '55%'),85%,4%,2%,4%,1%,&lt; 1%,14%,79%
ohio state university agricultural technical institute,1328 Dover Rd Wooster OH 44691-4000,(40.77485 -81.9227),$18044,$41127,202,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,&lt; 1%,1%,2%,&lt; 1%,5%,91%
ohio state university lima campus,4240 Campus Dr Lima OH 45804,(40.73884 -84.02649),$8550,$31633,269,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),42%,0%,4%,5%,4%,&lt; 1%,8%,80%
ohio state university mansfield campus,1760 University Drive Mansfield OH 44906,(40.79892 -82.57838),$17988,$41071,343,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),71%,0%,3%,8%,3%,&lt; 1%,6%,80%
ohio state university marion campus,1461 Mount Vernon Ave Marion OH 43302-5695,(40.57826 -83.09176),$8550,$31633,372,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),40%,0%,6%,4%,6%,&lt; 1%,7%,76%
ohio state university newark campus,1179 University Dr Newark OH 43055,(40.06801 -82.44485),$17988,$41071,1331,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,4%,15%,4%,&lt; 1%,8%,69%
ohio state university osu,190 N. Oval Mall Columbus OH 43210,(40.00037 -83.01338),$25328,$48411,8423,('57%' '58%' '55%'),58180,('51%' '49%'),25%,Co-ed,('53%' '47%'),95%,8%,7%,7%,5%,&lt; 1%,7%,74%
ohio university,020 Chubb Hall Athens OH 45701,(39.3285 -82.10444),$24702,$34672,3664,('89%' '89%' '86%'),21733,('58%' '42%'),19%,Co-ed,('55%' '45%'),81%,2%,1%,6%,3%,&lt; 1%,5%,84%
ohio university chillicothe campus,101 University Drive Chillicothe OH 45601-0629,(39.32804 -83.00417),$5774,$8766,160,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,0%,1%,3%,3%,&lt; 1%,8%,85%
ohio university eastern campus,45425 National Rd W Saint Clairsville OH 43950,(40.07307 -80.97587),$5774,$8766,57,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,1%,2%,2%,&lt; 1%,8%,87%
ohio university lancaster campus,1570 Granville Pike Lancaster OH 43130-1037,(39.73847 -82.58666),$5774,$8766,151,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),56%,1%,1%,3%,2%,&lt; 1%,7%,86%
ohio university southern campus,1804 Liberty Ave Ironton OH 45638,(38.52529 -82.66732),$5774,$8766,143,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,1%,3%,3%,&lt; 1%,8%,85%
ohio university zanesville campus,1425 Newark Rd Zanesville OH 43701,(39.96041 -82.03146),$5774,$8766,128,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,1%,4%,2%,&lt; 1%,8%,86%
ohio valley university,1 Campus View Drive Vienna WV 26105,(39.30989 -81.52885),$31740,$31740,56,('95%' '94%' '94%'),289,('48%' '52%'),20%,Co-ed,('48%' '52%'),66%,13%,1%,8%,5%,&lt; 1%,19%,67%
ohio wesleyan university,61 S Sandusky Street Delaware OH 43015,(40.29638 -83.06674),$62120,$62120,364,('74%' '78%' '69%'),3639,('53%' '47%'),14%,Co-ed,('57%' '43%'),77%,5%,4%,11%,6%,&lt; 1%,8%,72%
ohlone college,43600 Mission Blvd Fremont CA 94539-0390,(37.5275 -121.91671),$1196,$7052,746,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),82%,2%,48%,3%,25%,1%,9%,15%
oklahoma baptist university obu,500 W University Shawnee OK 74804,(35.35903 -96.93028),$40198,$40198,302,('56%' '58%' '51%'),2603,('59%' '41%'),21%,Co-ed,('59%' '41%'),66%,4%,1%,5%,2%,6%,16%,70%
oklahoma christian university,2501 E Memorial Rd Edmond OK 73013,(35.609 -97.46833),$32990,$32990,415,('97%' '96%' '96%'),1499,('61%' '39%'),29%,Co-ed,('55%' '45%'),75%,0%,4%,8%,7%,2%,9%,71%
oklahoma city community college,7777 S May Ave Oklahoma City OK 73159-9987,(35.38839 -97.56558),$4059,$9810,1013,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,6%,4%,8%,19%,4%,10%,53%
oklahoma city university ocu,2501 N Blackwelder Oklahoma City OK 73106,(35.49432 -97.53876),$42230,$42230,270,('79%' '81%' '75%'),1334,('68%' '32%'),26%,Co-ed,('68%' '32%'),81%,12%,2%,7%,11%,3%,9%,68%
oklahoma panhandle state university,323 Eagle Ave Goodwell OK 73939,(36.59545 -101.63779),$13362,$14106,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),59%,3%,1%,9%,27%,2%,9%,53%
oklahoma state university institute of technology,1801 E 4th St Okmulgee OK 74447,(35.6244 -95.94395),$12254,$17864,3529,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
oklahoma state university oklahoma city,900 N Portland Oklahoma City OK 73107-6195,(35.47522 -97.58259),$5070,$10908,285,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
oklahoma state university osu,107 Whitehurst Stillwater OK 74078,(36.12173 -97.07077),$18890,$34410,4267,('68%' '68%' '68%'),16934,('58%' '42%'),37%,Co-ed,('54%' '46%'),82%,4%,2%,5%,8%,5%,10%,70%
oklahoma wesleyan university,2201 Silver Lake Rd Bartlesville OK 74006,(36.71825571577 -95.954934759),$38156,$38156,201,('54%' '49%' '57%'),894,('45%' '55%'),42%,Co-ed,('43%' '57%'),44%,4%,1%,8%,4%,7%,11%,71%
old dominion university odu,5115 Hampton Blvd Norfolk VA 23529,(36.88908 -76.30303),$23788,$43948,2899,('96%' '97%' '95%'),13586,('54%' '46%'),22%,Co-ed,('52%' '48%'),79%,2%,5%,30%,9%,&lt; 1%,10%,46%
olivet college,320 South Main Street Olivet MI 49076,(42.44348 -84.92428),$41942,$41942,218,('89%' '88%' '88%'),1200,('45%' '55%'),21%,Co-ed,('34%' '66%'),60%,1%,&lt; 1%,19%,6%,&lt; 1%,8%,66%
olivet nazarene university,One University Avenue Bourbonnais IL 60914,(41.15438 -87.87072),$46930,$46930,661,('68%' '67%' '68%'),5034,('57%' '43%'),19%,Co-ed,('54%' '46%'),76%,1%,3%,10%,8%,&lt; 1%,4%,75%
olney central college,305 N West Street Olney IL 62450,(38.73346 -88.09452),$10056,$12082,219,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,0%,1%,2%,2%,&lt; 1%,2%,92%
olympic college,1600 Chester Ave Bremerton WA 98337,(47.57598 -122.63539),$14495,$20033,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
onondaga community college,4585 West Seneca Turnpike Syracuse NY 13215-4585,(43.00327 -76.19746),$15084,$20174,1190,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),48%,1%,3%,10%,5%,1%,42%,39%
oral roberts university,7777 S Lewis Ave. Tulsa OK 74171,(36.05044 -95.95772),$40408,$40408,647,('85%' '86%' '82%'),3350,('62%' '38%'),23%,Co-ed,('62%' '38%'),83%,10%,2%,14%,13%,3%,24%,44%
orange coast college,2701 Fairview Road Costa Mesa CA 92626,(33.66815 -117.91203),$15828,$23028,2188,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),72%,5%,24%,2%,36%,1%,6%,32%
orange county community college,115 South St Middletown NY 10940,(41.43844 -74.42547),$6094,$11470,797,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,0%,3%,12%,21%,&lt; 1%,17%,46%
orangeburg calhoun technical college,3250 Saint Matthews Rd Orangeburg SC 29118-8299,(33.54528 -80.82999),$5714,$7490,158,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,1%,56%,3%,&lt; 1%,2%,38%
oregon coast community college,400 SE College Way Newport OR 97366,(44.60326 -124.04626),$5148,$9072,58,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),44%,0%,1%,&lt; 1%,19%,4%,20%,56%
oregon institute of technology oregon tech,3201 Campus Drive Klamath Falls OR 97601,(42.25417 -121.78472),$21836,$42729,443,('91%' '91%' '89%'),4593,('58%' '42%'),11%,Co-ed,('47%' '53%'),80%,3%,9%,2%,12%,1%,11%,66%
oregon state university cascades campus,1500 SW Chandler Avenue Bend OR 97702,(44.04219 -121.33396),$24897,$45312,158,('86%' '88%' '82%'),3439,('59%' '41%'),5%,Co-ed,('54%' '46%'),68%,1%,2%,1%,8%,1%,12%,77%
oregon state university osu,1500 SW Jefferson Avenue Corvallis OR 97331,(44.56456 -123.27472),$26048,$45439,3965,('89%' '90%' '87%'),23188,('54%' '46%'),19%,Co-ed,('49%' '51%'),84%,9%,8%,2%,10%,1%,10%,69%
orion technical college,3940 Elmore Ave Davenport IA 52807,(41.56013 -90.52827),$14475,$14475,31,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
otero college,1802 Colorado Ave La Junta CO 81050,(37.97156 -103.54314),$11897,$14353,174,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),51%,5%,1%,6%,39%,1%,6%,46%
otis college of art and design,9045 Lincoln Blvd Los Angeles CA 90045,(33.95692 -118.4166),$66694,$66694,263,('80%' '82%' '72%'),2284,('74%' '26%'),14%,Co-ed,('74%' '26%'),77%,27%,32%,6%,7%,2%,16%,36%
ottawa university ottawa,1001 South Cedar Ottawa KS 66067-3399,(38.60287 -95.26407),$48714,$48714,213,('76%' '73%' '77%'),1827,('37%' '63%'),17%,Co-ed,('38%' '62%'),55%,0%,1%,7%,14%,1%,18%,59%
otterbein university,1 South Grove Street Westerville OH 43081,(40.12542 -82.9356),$45366,$45366,570,('83%' '81%' '85%'),3537,('61%' '39%'),19%,Co-ed,('57%' '43%'),82%,2%,2%,7%,3%,&lt; 1%,11%,77%
ouachita baptist university,410 Ouachita St Arkadelphia AR 71998,(34.12457 -93.05281),$38650,$38650,485,('74%' '75%' '70%'),2610,('62%' '38%'),25%,Co-ed,('52%' '48%'),83%,3%,1%,8%,5%,&lt; 1%,2%,84%
our lady of the lake university,411 SW 24th St. San Antonio TX 78207,(29.42637 -98.54298),$40168,$40168,254,('66%' '65%' '66%'),3933,('65%' '35%'),10%,Co-ed,('58%' '42%'),68%,2%,1%,9%,76%,1%,4%,10%
owens community college,30335 Oregon Rd Perrysburg OH 43551,(41.58961 -83.53871),$5510,$9782,696,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,1%,1%,9%,8%,&lt; 1%,7%,75%
owensboro community and technical college,4800 New Hartford Rd Owensboro KY 42303,(37.71715 -87.08366),$4488,$15240,428,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,2%,4%,4%,&lt; 1%,5%,85%
oxnard college,4000 S Rose Ave Oxnard CA 93033-6699,(34.16387 -119.15935),$1398,$8146,503,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),71%,0%,5%,2%,73%,1%,4%,15%
ozark christian college,1111 N Main St Joplin MO 64801,(37.10174 -94.51269),$20530,$20530,116,('98%' '98%' '97%'),257,('49%' '51%'),46%,Co-ed,('42%' '58%'),81%,2%,1%,3%,6%,1%,4%,85%
ozarka college,218 College Dr Melbourne AR 72556-0010,(36.05575 -91.89784),$8704,$11056,123,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,0%,1%,1%,2%,1%,&lt; 1%,95%
ozarks technical community college,1001 E. Chestnut Expressway Springfield MO 65802,(37.21489 -93.27905),$4924,$6028,1822,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,2%,3%,7%,1%,7%,82%
pace university,1 Pace Plaza New York NY 10038,(40.71112 -74.00437),$68512,$68512,2203,('88%' '89%' '83%'),24794,('71%' '29%'),10%,Co-ed,('71%' '29%'),79%,12%,9%,12%,14%,&lt; 1%,9%,55%
pacific bible college,28 S Fir Street STE 212 Medford OR 97501,(42.32509 -122.87389),$4812,$4812,2,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
pacific college of health and science california,7445 Mission Valley Rd Ste 105 San Diego CA 92108-4407,(32.77852 -117.16042),$9826,$9826,18,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
pacific college of health and science new york,110 William St. 19th Fl New York NY 10038,(40.70878 -74.00721),$11009,$11009,8,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
pacific lutheran university,12180 Park Ave South Tacoma WA 98447,(47.14545 -122.43976),$59708,$59708,510,('88%' '90%' '85%'),3219,('59%' '41%'),18%,Co-ed,('64%' '36%'),83%,3%,11%,4%,9%,1%,11%,64%
pacific northwest college of art pnca,511 NW Broadway Portland OR 97209,(45.52697 -122.67757),$59924,$59924,64,('98%' '98%' '95%'),364,('83%' '17%'),18%,Co-ed,('82%' '18%'),69%,3%,5%,2%,8%,2%,30%,54%
pacific rim christian university,2223 Hoonee Pl. Honolulu HI 96819,(21.32788 -157.88871),$21080,$21080,17,('60%' '63%' '56%'),35,('54%' '46%'),81%,Co-ed,('58%' '42%'),60%,3%,37%,7%,13%,&lt; 1%,23%,20%
pacific states university,3424 Wilshire Blvd. 12th floor Los Angeles CA 90010-2263,(34.06176 -118.29842),$7380,$7380,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),100%,96%,100%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%
pacific union college,One Angwin Ave Angwin CA 94508,(38.57029 -122.44295),$41019,$41019,130,('58%' '58%' '55%'),1216,('62%' '38%'),19%,Co-ed,('53%' '47%'),82%,3%,19%,7%,25%,&lt; 1%,24%,24%
pacific university,2043 College Way Forest Grove OR 97116,(45.52166 -123.10882),$63962,$63962,363,('91%' '91%' '90%'),2266,('54%' '46%'),18%,Co-ed,('54%' '46%'),78%,2%,14%,2%,14%,1%,17%,52%
paier college,84 iranistan Ave Bridgeport CT 06606,(41.16301 -73.19546),$41760,$41760,25,('96%' '94%' '100%'),53,('67%' '33%'),75%,Co-ed,('73%' '27%'),63%,0%,3%,23%,23%,1%,4%,46%
paine college,1235 15th St Augusta GA 30901,(33.46956 -81.99236),$22108,$22108,79,('52%' '56%' '46%'),846,('56%' '44%'),18%,Co-ed,('36%' '64%'),66%,2%,&lt; 1%,91%,4%,&lt; 1%,3%,1%
palm beach atlantic university,901 S. Flagler Drive West Palm Beach FL 33401,(26.70491 -80.04946),$45160,$45160,505,('90%' '89%' '90%'),1923,('66%' '34%'),29%,Co-ed,('63%' '37%'),75%,4%,3%,11%,16%,&lt; 1%,5%,65%
palm beach state college,4200 Congress Ave Lake Worth FL 33461-4796,(26.61622 -80.08862),$3030,$10890,2136,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
palo alto college,1400 W Villaret Blvd San Antonio TX 78224-2499,(29.3246 -98.54503),$6592,$14122,583,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,1%,5%,77%,&lt; 1%,3%,14%
palo verde college,One College Drive Blythe CA 92225,(33.66144 -114.65253),$1288,$9884,63,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),51%,0%,4%,9%,40%,2%,6%,39%
palomar college,1140 W. Mission San Marcos CA 92069-1487,(33.14846 -117.18676),$1288,$9884,1473,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,1%,6%,3%,47%,1%,8%,35%
pamlico community college,5049 Hwy 306 South Grantsboro NC 28529,(35.07004 -76.83486),$1867,$6475,8,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,0%,1%,27%,7%,&lt; 1%,4%,60%
panola college,1109 W Panola Street Carthage TX 75633-2397,(32.15828 -94.35551),$8932,$9940,301,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,1%,1%,18%,20%,&lt; 1%,2%,59%
paradise valley community college,18401 N 32nd St Phoenix AZ 85032,(33.65497 -112.01363),$2070,$7854,545,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,1%,4%,4%,27%,2%,8%,56%
paris junior college,2400 Clarksville St Paris TX 75460,(33.64841 -95.52872),$9461,$10961,531,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,0%,1%,10%,22%,1%,4%,62%
park university,8700 NW River Park Dr Parkville MO 64152,(39.1878 -94.67967),$20364,$20364,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),55%,2%,3%,19%,19%,1%,13%,46%
parker university,2540 Walnut Hill Lane Dallas TX 75229-5668,(32.87998 -96.89227),$15718,$15718,41,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),83%,0%,6%,15%,14%,2%,11%,52%
parkland college,2400 W Bradley Ave Champaign IL 61821-1899,(40.12752 -88.2872),$11580,$15930,618,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,5%,14%,9%,&lt; 1%,10%,63%
pasadena city college,1570 E Colorado Blvd. Pasadena CA 91106-2003,(34.14599 -118.11778),$1104,$7368,2408,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),73%,2%,24%,4%,50%,&lt; 1%,6%,16%
pasco hernando state college,10230 Ridge Road New Port Richey FL 34654-5199,(28.27583 -82.64572),$3155,$12032,1071,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
passaic county community college,One College Blvd Paterson NJ 07505-1179,(40.91637 -74.17844),$7350,$9390,349,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,0%,5%,10%,61%,&lt; 1%,7%,17%
patrick henry community college,645 Patriot Avenue Martinsville VA 24112,(36.73737 -79.87078),$4720,$10723,378,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,1%,1%,22%,10%,&lt; 1%,7%,60%
paul d camp community college,100 N College Dr Franklin VA 23851,(36.67359 -76.93929),$4730,$10733,112,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),43%,0%,1%,33%,4%,1%,9%,52%
