Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
new york university nyu,70 Washington Sq South New York NY 10012,(40.72973 -73.99695),$76182,$76182,6097,('13%' '13%' '12%'),95517,('61%' '39%'),49%,Co-ed,('61%' '39%'),94%,19%,23%,8%,17%,&lt; 1%,13%,39%
newberry college,2100 College St Newberry SC 29108,(34.28531 -81.62164),$39950,$39950,328,('57%' '55%' '59%'),2160,('52%' '48%'),26%,Co-ed,('35%' '65%'),61%,5%,1%,26%,4%,1%,11%,58%
newman university,3100 McCormick Ave Wichita KS 67213,(37.6737 -97.38151),$44104,$44104,150,('72%' '70%' '73%'),695,('63%' '37%'),30%,Co-ed,('58%' '42%'),78%,2%,6%,3%,15%,1%,5%,70%
newschool of architecture and design,1249 F St San Diego CA 92101,(32.71365 -117.15315),$29427,$29427,14,('61%' '58%' '62%'),189,('48%' '52%'),13%,Co-ed,('46%' '54%'),46%,0%,13%,9%,&lt; 1%,4%,34%,40%
nhti concord community college,31 College Drive Concord NH 03301-7412,(43.22371 -71.52935),$17830,$26080,380,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,0%,2%,4%,6%,1%,15%,73%
niagara county community college,3111 Saunders Settlement Rd Sanborn NY 14132,(43.14655 -78.87661),$5980,$10924,782,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,2%,9%,5%,1%,6%,76%
niagara university,Lewiston Road Niagara University NY 14109,(43.1355 -79.0383),$48380,$48380,625,('92%' '93%' '90%'),3628,('65%' '35%'),19%,Co-ed,('61%' '39%'),84%,14%,2%,6%,5%,1%,8%,80%
nicholls state university,University Station  La Hwy 1 Thibodaux LA 70310,(29.79562 -90.80119),$18354,$19447,958,('97%' '98%' '95%'),2167,('60%' '40%'),45%,Co-ed,('60%' '40%'),74%,1%,1%,20%,4%,2%,5%,68%
nichols college,Center Rd Dudley MA 01571,(42.03843 -71.9334),$51250,$51250,316,('85%' '87%' '83%'),2193,('29%' '71%'),17%,Co-ed,('23%' '77%'),75%,1%,2%,7%,9%,&lt; 1%,4%,78%
nicolet area technical college,5364 College Drive Rhinelander WI 54501-0518,(45.61174 -89.41882),$4568,$6852,81,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,0%,1%,1%,3%,5%,5%,85%
norfolk state university,700 Park Avenue Norfolk VA 23504,(36.84766 -76.26955),$20466,$31634,1113,('89%' '91%' '83%'),6490,('65%' '35%'),19%,Co-ed,('64%' '36%'),70%,0%,1%,84%,4%,&lt; 1%,8%,4%
normandale community college,9700 France Ave S Bloomington MN 55431-4399,(44.83061 -93.33043),$5789,$5789,790,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,9%,19%,12%,&lt; 1%,8%,52%
north american university,11929 West Airport Blvd. Stafford TX 77477,(29.64606 -95.58829),$19552,$19552,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),60%,53%,9%,25%,42%,&lt; 1%,7%,17%
north arkansas college,1515 Pioneer Drive Harrison AR 72601-5508,(36.22038 -93.08918),$3840,$5940,268,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),56%,0%,1%,2%,8%,1%,6%,83%
north carolina a t state university n c a t,1601 E Market  St Greensboro NC 27411,(36.07236 -79.77216),$15152,$28662,2930,('57%' '59%' '52%'),21528,('67%' '33%'),24%,Co-ed,('65%' '35%'),77%,1%,1%,80%,4%,&lt; 1%,7%,7%
north carolina central university nccu,1801 Fayetteville Street Durham NC 27707,(35.976 -78.901),$17388,$30095,1130,('76%' '77%' '71%'),8244,('68%' '32%'),18%,Co-ed,('69%' '31%'),82%,0%,1%,77%,6%,1%,7%,8%
