Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
university of arkansas community college batesville,2005 White Drive Batesville AR 72503-3350,(35.79246 -91.61658),$2862,$3438,179,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,1%,1%,2%,7%,1%,5%,84%
university of arkansas community college morrilton,1537 University Blvd. Morrilton AR 72110,(35.17069 -92.72902),$3456,$4128,390,('100%' '100%' '100%'),850,('56%' '44%'),54%,Co-ed,('52%' '48%'),58%,2%,1%,8%,10%,&lt; 1%,6%,75%
university of arkansas community college rich mountain,1100 College Dr Mena AR 71953,(34.59019 -94.22017),$12126,$12366,172,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,4%,1%,2%,10%,2%,2%,82%
university of arkansas fort smith,5210 Grand Ave Fort Smith AR 72913,(35.3844 -94.37574),$15224,$22496,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),64%,1%,5%,4%,12%,2%,8%,67%
university of arkansas hope texarkana,2500 S Main Hope AR 71801,(33.64006 -93.59347),$3340,$4390,102,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,&lt; 1%,29%,9%,&lt; 1%,3%,58%
university of arkansas pulaski technical college,3000 W Scenic Dr North Little Rock AR 72118-3347,(34.78136 -92.29875),$5670,$6900,729,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,0%,2%,38%,8%,1%,10%,42%
university of baltimore,Charles at Mount Royal Baltimore MD 21201-5720,(39.30639 -76.61633),$9364,$22550,60,('89%' '90%' '88%'),265,('65%' '35%'),28%,Co-ed,('62%' '38%'),68%,3%,5%,40%,8%,&lt; 1%,8%,38%
university of bridgeport,126 Park Avenue Bridgeport CT 06604,(41.16443 -73.18988),$52110,$52110,238,('73%' '75%' '69%'),4940,('63%' '37%'),7%,Co-ed,('68%' '32%'),67%,12%,4%,37%,24%,1%,5%,29%
university of california berkeley uc berkeley,200 California Hall Berkeley CA 94720,(37.87149 -122.26029),$34462,$64216,6931,('14%' '16%' '11%'),112843,('52%' '48%'),43%,Co-ed,('57%' '43%'),97%,13%,39%,2%,18%,&lt; 1%,11%,29%
university of california davis uc davis,One Shields Avenue Davis CA 95616,(38.54063 -121.74803),$31663,$61417,7482,('49%' '52%' '44%'),87120,('53%' '47%'),18%,Co-ed,('58%' '42%'),92%,16%,34%,3%,25%,&lt; 1%,8%,30%
university of california irvine uc irvine,501 Aldrich Hall Irvine CA 92697,(33.64627 -117.84254),$30644,$60398,6489,('29%' '31%' '26%'),107950,('52%' '48%'),21%,Co-ed,('59%' '41%'),93%,17%,43%,2%,32%,&lt; 1%,6%,17%
university of california los angeles ucla,405 Hilgard Ave Los Angeles CA 90095,(34.07242 -118.43929),$30021,$59775,6584,('11%' '11%' '9%'),139489,('53%' '47%'),44%,Co-ed,('63%' '37%'),97%,12%,32%,4%,25%,&lt; 1%,8%,30%
university of california merced uc merced,5200 North Lake Road Merced CA 95343,(37.36331 -120.43118),$32558,$62312,2410,('87%' '88%' '84%'),27793,('52%' '48%'),10%,Co-ed,('50%' '50%'),81%,7%,22%,5%,57%,&lt; 1%,4%,11%
university of california riverside uc riverside,900 University Ave Riverside CA 92521,(33.97521 -117.33269),$30618,$60372,5203,('65%' '68%' '62%'),52672,('53%' '47%'),15%,Co-ed,('53%' '47%'),89%,4%,35%,4%,41%,&lt; 1%,6%,13%
university of california san diego ucsd,9500 Gilman Dr La Jolla CA 92093,(32.87711 -117.23794),$30845,$60599,7544,('34%' '36%' '32%'),118386,('52%' '48%'),19%,Co-ed,('55%' '45%'),94%,20%,43%,2%,23%,&lt; 1%,8%,24%
university of california santa barbara ucsb,5221 Cheadle Hall Santa Barbara CA 93106,(34.41567 -119.84699),$31116,$60870,4900,('29%' '31%' '26%'),105641,('54%' '46%'),16%,Co-ed,('60%' '40%'),92%,10%,20%,3%,29%,&lt; 1%,12%,35%
university of california santa cruz ucsc,1156 High St Santa Cruz CA 95064,(36.9771 -122.05222),$31499,$61253,4187,('59%' '62%' '54%'),61695,('53%' '47%'),12%,Co-ed,('54%' '46%'),88%,6%,24%,2%,30%,&lt; 1%,10%,34%
university of central arkansas,201 Donaghey Ave Conway AR 72035,(35.08064 -92.45416),$17459,$24329,1854,('92%' '92%' '91%'),6057,('64%' '36%'),33%,Co-ed,('63%' '37%'),74%,6%,2%,17%,6%,1%,5%,70%
university of central florida ucf,4000 Central Florida Blvd Orlando FL 32816,(28.60093 -81.20064),$17866,$33965,7090,('36%' '35%' '37%'),48929,('58%' '42%'),40%,Co-ed,('54%' '46%'),90%,3%,6%,12%,27%,&lt; 1%,5%,50%
university of central missouri,108 W South Street Warrensburg MO 64093,(38.76029 -93.7408),$18429,$26177,1158,('76%' '75%' '76%'),5103,('59%' '41%'),30%,Co-ed,('54%' '46%'),70%,2%,3%,9%,5%,&lt; 1%,8%,75%
university of central oklahoma,100 N University Dr Edmond OK 73034,(35.65588 -97.475),$16488,$27375,1662,('81%' '82%' '79%'),8708,('59%' '41%'),23%,Co-ed,('61%' '39%'),65%,6%,4%,10%,11%,4%,13%,59%
university of charleston west virginia,2300 MacCorkle Avenue  SE Charleston WV 25304,(38.33114 -81.61451),$41300,$41300,246,('70%' '68%' '71%'),1984,('66%' '34%'),18%,Co-ed,('58%' '42%'),67%,6%,1%,9%,2%,1%,36%,51%
university of chicago,5801 S Ellis Ave Chicago IL 60637,(41.78958 -87.60128),$79926,$79926,2053,('6%' '5%' '7%'),37958,('53%' '47%'),83%,Co-ed,('48%' '52%'),99%,15%,22%,6%,15%,&lt; 1%,10%,47%
university of cincinnati,2624 Clifton Avenue Cincinnati OH 45221,(39.13025 -84.52063),$24886,$40220,5400,('85%' '83%' '86%'),25775,('55%' '45%'),25%,Co-ed,('50%' '50%'),86%,5%,4%,8%,3%,&lt; 1%,7%,77%
university of cincinnati blue ash college,9555 Plainfield Rd Blue Ash OH 45236,(39.23275 -84.40078),$18780,$27578,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
university of cincinnati clermont college,4200 Clermont College Dr Batavia OH 45103,(39.07899 -84.19574),$6086,$13318,336,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
university of colorado boulder cu boulder,Regent Drive at Broadway Boulder CO 80309,(40.00346 -105.26775),$28172,$53990,6785,('80%' '83%' '75%'),54756,('52%' '48%'),16%,Co-ed,('45%' '55%'),88%,7%,6%,2%,13%,&lt; 1%,7%,73%
university of colorado colorado springs,1420 Austin Bluffs Parkway Colorado Springs CO 80918,(38.89013 -104.79675),$19686,$32142,1409,('95%' '95%' '94%'),11900,('61%' '39%'),12%,Co-ed,('52%' '48%'),69%,1%,4%,4%,19%,&lt; 1%,10%,63%
university of colorado denver cu denver,1380 Lawrence Street Lawrence Street Center Suite 1400 Denver CO 80217,(39.74631 -104.99946),$23174,$40166,1688,('72%' '73%' '70%'),14428,('62%' '38%'),16%,Co-ed,('59%' '41%'),72%,5%,9%,6%,25%,&lt; 1%,9%,51%
university of connecticut stamford,One University Place Stamford CT 06901,(41.05565 -73.54321),$32462,$55130,764,('76%' '75%' '75%'),5673,('54%' '46%'),18%,Co-ed,('46%' '54%'),80%,6%,10%,12%,28%,&lt; 1%,5%,45%
university of connecticut uconn,352 Mansfield Road Storrs CT 06269,(41.80817 -72.2495),$31782,$54450,3663,('56%' '60%' '49%'),36753,('55%' '45%'),18%,Co-ed,('55%' '45%'),93%,8%,12%,7%,11%,&lt; 1%,7%,63%
university of dallas,1845 E Northgate Drive Irving TX 75062,(32.84821 -96.9205),$60336,$60336,476,('58%' '60%' '54%'),4990,('61%' '39%'),16%,Co-ed,('59%' '41%'),79%,4%,6%,2%,23%,1%,5%,63%
university of dayton,300 College Park Dayton OH 45469,(39.74038 -84.17704),$59760,$59760,2126,('81%' '84%' '77%'),17262,('49%' '51%'),15%,Co-ed,('47%' '53%'),91%,8%,2%,3%,5%,&lt; 1%,6%,84%
university of delaware,104 Hullihen Hall Newark DE 19716,(39.68001 -75.7536),$28762,$50622,4617,('72%' '74%' '68%'),34111,('61%' '39%'),19%,Co-ed,('62%' '38%'),90%,5%,6%,6%,8%,&lt; 1%,6%,74%
university of denver,2199 S. University Blvd Denver CO 80208,(39.67667 -104.95938),$69493,$69493,1621,('64%' '64%' '62%'),22694,('58%' '42%'),11%,Co-ed,('56%' '44%'),88%,8%,5%,2%,12%,&lt; 1%,7%,74%
university of detroit mercy,4001 W McNichols Rd Detroit MI 48221,(42.41479 -83.13766),$40394,$40394,565,('93%' '92%' '93%'),4435,('35%' '65%'),14%,Co-ed,('67%' '33%'),83%,8%,6%,16%,6%,&lt; 1%,12%,60%
university of dubuque,2000 University Ave Dubuque IA 52001,(42.49856 -90.69209),$46310,$46310,335,('76%' '75%' '76%'),1905,('37%' '63%'),23%,Co-ed,('37%' '63%'),66%,6%,2%,16%,10%,&lt; 1%,8%,64%
university of evansville,1800 Lincoln Avenue Evansville IN 47722,(37.96995 -87.53238),$53226,$53226,327,('75%' '75%' '74%'),3661,('63%' '37%'),12%,Co-ed,('62%' '38%'),86%,12%,2%,4%,3%,&lt; 1%,18%,73%
university of findlay,1000 North Main Street Findlay OH 45840,(41.05372 -83.65009),$47676,$47676,647,('84%' '83%' '82%'),3554,('70%' '30%'),22%,Co-ed,('69%' '31%'),80%,6%,1%,3%,3%,&lt; 1%,5%,88%
university of florida,Tigert Hall Gainesville FL 32611,(29.65007 -82.33932),$16781,$39059,6787,('30%' '30%' '29%'),51207,('57%' '43%'),44%,Co-ed,('57%' '43%'),97%,3%,9%,7%,22%,&lt; 1%,7%,55%
university of georgia,Administration Building Athens GA 30602,(33.94762 -83.37615),$22520,$41560,5819,('40%' '42%' '35%'),39211,('60%' '40%'),37%,Co-ed,('63%' '37%'),95%,2%,10%,8%,6%,&lt; 1%,5%,70%
university of hartford,200 Bloomfield Ave West Hartford CT 06117,(41.79395 -72.71659),$58238,$58238,977,('79%' '78%' '79%'),13459,('61%' '39%'),9%,Co-ed,('55%' '45%'),76%,5%,4%,14%,12%,&lt; 1%,19%,51%
university of hawaii at hilo,200 W Kawili St Hilo HI 96720,(19.69875 -155.08081),$16086,$29046,459,('92%' '92%' '90%'),2863,('69%' '31%'),17%,Co-ed,('63%' '37%'),66%,4%,26%,1%,16%,1%,34%,22%
university of hawaii at manoa uh manoa,2500 Campus Road Honolulu HI 96822,(21.29936 -157.82016),$25828,$47860,2939,('70%' '69%' '71%'),19464,('71%' '29%'),21%,Co-ed,('64%' '36%'),79%,4%,42%,2%,12%,&lt; 1%,26%,18%
university of hawaii maui college,310 W Kaahumanu Ave Kahului HI 96732-1617,(20.88986 -156.47661),$3278,$8414,270,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),92%,2%,28%,1%,16%,6%,33%,16%
university of hawaii west oahu,91-1001 Farrington Highway Kapolei HI 96707-4507,(21.35644 -158.05661),$7584,$20544,184,('95%' '95%' '93%'),724,('62%' '38%'),31%,Co-ed,('54%' '46%'),62%,1%,39%,2%,15%,4%,31%,9%
university of holy cross,4123 Woodland Drive New Orleans LA 70131,(29.91167 -89.99511),$24237,$24237,61,('75%' '76%' '71%'),1320,('76%' '24%'),6%,Co-ed,('83%' '17%'),76%,2%,4%,29%,12%,1%,8%,47%
university of houston,212 E. Cullen Building Houston TX 77204,(29.72049 -95.34325),$19661,$31853,5437,('66%' '66%' '64%'),29721,('57%' '43%'),28%,Co-ed,('55%' '45%'),85%,4%,23%,11%,36%,&lt; 1%,5%,26%
university of houston clear lake,2700 Bay Area Blvd Houston TX 77058,(29.57838 -95.1061),$17579,$30875,334,('91%' '90%' '91%'),1793,('62%' '38%'),20%,Co-ed,('58%' '42%'),74%,2%,6%,8%,40%,&lt; 1%,4%,41%
university of houston downtown,1 Main Street Houston TX 77002-1014,(29.76356 -95.35965),$7708,$17524,1137,('95%' '96%' '92%'),6148,('60%' '40%'),23%,Co-ed,('58%' '42%'),64%,5%,9%,21%,54%,&lt; 1%,3%,13%
university of houston victoria,3007 N. Ben Wilson Victoria TX 77901,(28.81714 -96.97554),$17381,$27173,153,('53%' '55%' '49%'),2272,('60%' '40%'),13%,Co-ed,('61%' '39%'),56%,2%,7%,17%,40%,&lt; 1%,3%,33%
university of idaho,875 Perimeter Drive MS 2282 Moscow ID 83844,(46.72781 -117.0243),$17950,$37186,1656,('81%' '83%' '79%'),9814,('52%' '48%'),21%,Co-ed,('51%' '49%'),81%,5%,2%,1%,11%,1%,12%,73%
university of illinois at chicago uic,601 S Morgan Chicago IL 60607,(41.87396 -87.65176),$26376,$40726,4177,('79%' '81%' '74%'),22791,('57%' '43%'),23%,Co-ed,('55%' '45%'),80%,5%,22%,8%,34%,&lt; 1%,4%,32%
university of illinois at springfield,One University Plaza Springfield IL 62703,(39.72897 -89.61912),$22321,$31936,264,('79%' '80%' '78%'),2496,('64%' '36%'),13%,Co-ed,('62%' '38%'),77%,4%,4%,14%,9%,&lt; 1%,4%,69%
university of illinois at urbana champaign uiuc,601 E John Street Champaign IL 61820,(40.10914 -88.22999),$27936,$45386,8297,('60%' '66%' '54%'),47593,('43%' '57%'),29%,Co-ed,('46%' '54%'),93%,16%,22%,7%,13%,&lt; 1%,5%,53%
university of indianapolis,1400 E Hanna Ave Indianapolis IN 46227,(39.70829 -86.13718),$44920,$44920,1052,('78%' '80%' '73%'),10212,('63%' '37%'),13%,Co-ed,('66%' '34%'),74%,7%,2%,10%,6%,&lt; 1%,14%,68%
university of iowa,101 Jessup Hall Iowa City IA 52242,(41.66251 -91.53662),$21722,$43685,4521,('86%' '87%' '84%'),22434,('57%' '43%'),23%,Co-ed,('59%' '41%'),86%,9%,5%,4%,8%,&lt; 1%,7%,76%
university of jamestown,608 6th St NE Jamestown ND 58405,(46.90321 -98.70043),$31814,$31814,325,('76%' '77%' '75%'),1256,('35%' '65%'),34%,Co-ed,('48%' '52%'),60%,9%,2%,4%,7%,1%,4%,82%
university of kansas,Strong Hall 1450 Jayhawk Blvd Room 230 Lawrence KS 66045,(38.95802 -95.24798),$21066,$37934,4119,('92%' '95%' '88%'),15275,('54%' '46%'),29%,Co-ed,('54%' '46%'),84%,7%,5%,5%,9%,&lt; 1%,6%,75%
university of kentucky,South Limestone Lexington KY 40506,(38.03116 -84.5096),$26610,$45608,4721,('94%' '95%' '92%'),21654,('59%' '41%'),23%,Co-ed,('58%' '42%'),85%,3%,3%,8%,5%,&lt; 1%,7%,77%
university of la verne,1950 Third St La Verne CA 91750,(34.1015 -117.77399),$60320,$60320,680,('72%' '74%' '68%'),5004,('59%' '41%'),19%,Co-ed,('59%' '41%'),83%,3%,6%,6%,52%,&lt; 1%,13%,22%
university of louisiana at lafayette ul lafayette,104 University Circle Lafayette LA 70503,(30.2165 -92.01824),$22130,$35858,2693,('78%' '79%' '76%'),10409,('62%' '38%'),33%,Co-ed,('59%' '41%'),75%,2%,3%,21%,6%,&lt; 1%,5%,66%
university of louisiana at monroe ulm,700 University Avenue Monroe LA 71209,(32.52831 -92.07567),$18448,$30548,1140,('70%' '70%' '68%'),4945,('63%' '37%'),33%,Co-ed,('63%' '37%'),71%,3%,2%,24%,2%,&lt; 1%,5%,66%
university of louisville,2301 S 3rd St Louisville KY 40292,(38.21537 -85.76208),$22222,$38568,2695,('75%' '74%' '74%'),15455,('58%' '42%'),23%,Co-ed,('55%' '45%'),80%,2%,4%,12%,5%,&lt; 1%,6%,73%
university of lynchburg,1501 Lakeside Dr Lynchburg VA 24501,(37.40191 -79.18256),$46960,$46960,336,('97%' '97%' '96%'),3102,('62%' '38%'),11%,Co-ed,('61%' '39%'),79%,2%,1%,11%,4%,&lt; 1%,8%,75%
university of maine,168 College Avenue Orono ME 04469,(44.89551 -68.67372),$23698,$45298,2317,('96%' '96%' '96%'),14940,('55%' '45%'),16%,Co-ed,('49%' '51%'),78%,3%,2%,2%,4%,1%,8%,84%
university of maine at augusta,46 University Dr Augusta ME 04330,(44.33925 -69.79602),$16578,$27438,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),59%,1%,1%,1%,2%,2%,15%,79%
university of maine at farmington umf,224 Main St. Farmington ME 04938,(44.66886 -70.14977),$19926,$31116,345,('97%' '97%' '95%'),1569,('67%' '33%'),23%,Co-ed,('70%' '30%'),71%,1%,1%,2%,2%,&lt; 1%,6%,89%
university of maine at fort kent,23 University Drive Fort Kent ME 04743,(47.25068 -68.58978),$17625,$22035,67,('100%' '100%' '99%'),800,('66%' '34%'),8%,Co-ed,('62%' '38%'),63%,4%,1%,2%,2%,1%,33%,62%
university of maine at machias,116 O'Brien Ave Machias ME 04654,(44.71014 -67.45829),$16882,$24232,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),55%,1%,&lt; 1%,2%,4%,3%,14%,76%
university of maine at presque isle,181 Main St Presque Isle ME 04769,(46.67271 -68.01532),$17505,$21915,162,('100%' '100%' '99%'),800,('66%' '34%'),20%,Co-ed,('58%' '42%'),62%,3%,1%,2%,2%,1%,15%,79%
university of management and technology,1901 Fort Myer Drive Suite 700 Arlington VA 22209-1609,(38.89719 -77.07222),$9450,$9450,2,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
university of mary,7500 University Dr Bismarck ND 58504,(46.72798 -100.75239),$28280,$28280,510,('79%' '79%' '76%'),1532,('59%' '41%'),42%,Co-ed,('61%' '39%'),82%,0%,2%,2%,5%,2%,11%,79%
university of mary hardin baylor,900 College St Belton TX 76513,(31.06518 -97.46326),$41000,$41000,861,('99%' '99%' '99%'),14587,('71%' '29%'),6%,Co-ed,('58%' '42%'),73%,1%,2%,15%,21%,1%,5%,57%
university of mary washington,1301 College Ave Fredericksburg VA 22401,(38.30027 -77.47516),$25920,$42346,654,('82%' '81%' '82%'),5027,('65%' '35%'),16%,Co-ed,('65%' '35%'),82%,2%,4%,8%,9%,&lt; 1%,9%,69%
university of maryland baltimore county umbc,1000 Hilltop Circle Baltimore MD 21250,(39.25437 -76.7135),$24880,$41070,2052,('81%' '82%' '79%'),11093,('51%' '49%'),23%,Co-ed,('44%' '56%'),87%,4%,22%,19%,8%,&lt; 1%,8%,43%
university of maryland college park maryland,2001 Paint Branch Dr College Park MD 20742,(38.99185 -76.93731),$24303,$51984,6072,('52%' '55%' '47%'),50183,('52%' '48%'),23%,Co-ed,('52%' '48%'),95%,5%,18%,14%,11%,&lt; 1%,7%,52%
university of maryland eastern shore umes,J.T. Williams Hall Princess Anne MD 21853,(38.21586 -75.66859),$18809,$29428,484,('85%' '86%' '81%'),7314,('65%' '35%'),7%,Co-ed,('53%' '47%'),63%,3%,1%,76%,4%,&lt; 1%,6%,12%
university of maryland global campus,3501 University Blvd East Adelphi MD 20783-8010,(38.987389 -76.954363),$7704,$12336,180,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,2%,6%,29%,15%,1%,14%,36%
