Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
united states air force academy air force,2304 Cadet Drive Suite 3800 USAF Academy CO 80840,(39.0096 -104.89237),n/a,n/a,1091,('12%' '11%' '12%'),11687,('32%' '68%'),75%,Co-ed,('29%' '71%'),95%,1%,6%,6%,11%,&lt; 1%,13%,64%
united states coast guard academy coast guard,15 Mohegan Avenue New London CT 06320,(41.3715 -72.10267),n/a,n/a,277,('19%' '26%' '16%'),2070,('29%' '71%'),69%,Co-ed,('40%' '60%'),97%,1%,8%,3%,10%,2%,2%,75%
united states merchant marine academy,300 Steamboat Road Kings Point NY 11024,(40.8139 -73.76354),$780,$780,239,('25%' '25%' '25%'),1789,('20%' '80%'),53%,Co-ed,('17%' '83%'),98%,1%,8%,3%,10%,2%,3%,75%
united states military academy army,646 Swift Rd (ATTN: MASG) West  Point NY 10996,(41.37793 -73.9636),n/a,n/a,1201,('11%' '8%' '11%'),13955,('30%' '70%'),81%,Co-ed,('24%' '76%'),97%,1%,9%,12%,10%,1%,5%,63%
united states naval academy navy,121 Blake Road Annapolis MD 21402,(38.98151 -76.48542),n/a,n/a,1183,('8%' '8%' '8%'),16265,('29%' '71%'),86%,Co-ed,('29%' '71%'),97%,1%,8%,7%,12%,&lt; 1%,10%,63%
united talmudical seminary,191 Rodney St. Brooklyn NY 11211,(40.70532 -73.95951),$20000,$20000,438,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),80%,3%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,100%
united tribes technical college,3315 University Dr Bismarck ND 58504,(46.76861 -100.76323),$9352,$9352,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
unity college,90 Quaker Hill Road Unity ME 04988,(44.60445 -69.33006),$23540,$23540,244,('91%' '92%' '89%'),2903,('70%' '30%'),9%,Co-ed,('70%' '30%'),71%,0%,1%,1%,1%,2%,10%,86%
universidad adventista de las antillas,Carr 106 Km 2.2 Int Mayaguez PR 00680-0000,(18.20936 -67.046),$13450,$13450,71,('100%' '100%' '100%'),137,('64%' '36%'),59%,Co-ed,('55%' '45%'),74%,4%,&lt; 1%,1%,98%,&lt; 1%,&lt; 1%,1%
universidad ana g mendez carolina campus,Carr. # 190 Esq. Calle 220 Bo. Sabana Abajo Carolina PR 00985-0985,(18.41541 -65.99158),$5820,$5820,726,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),72%,0%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
universidad ana g mendez cupey campus,1399 Ave. Ana G. Mendez San Juan PR 00926-2602,(18.38633 -66.06137),$5820,$5820,621,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,0%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
universidad ana g mendez gurabo campus,Carr. # 189 Km 3.3 Gurabo PR 00778-3030,(38.89037 -77.03196),$5820,$5820,1189,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),73%,0%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
universidad central de bayamon,Avenida Zaya Verde La Milagrosa Barrio Hato Tejas Bayamon PR 00960-1725,(18.39863 -66.18293),$8222,$8222,96,('98%' '97%' '100%'),117,('65%' '35%'),90%,Co-ed,('68%' '32%'),81%,1%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
universidad central del caribe,Ramon Ruiz Arnau University Hospital Laurel Ave Bayamon PR 00960-6032,(18.368 -66.15797),$6597,$6597,7,('58%' '57%' '60%'),12,('58%' '42%'),100%,Co-ed,('57%' '43%'),100%,0%,&lt; 1%,&lt; 1%,92%,&lt; 1%,6%,1%
universidad del sagrado corazon,Calle Rosales Esq San Antonio Pda 26 1/2 Santurce PR 00907,(18.45349 -66.0751),$15620,$15620,483,('62%' '59%' '65%'),2188,('66%' '34%'),38%,Co-ed,('63%' '37%'),65%,0%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
universidad politecnica de puerto rico,377 Ponce de Leon Ave Hato Rey PR 00919,(18.42215 -66.05692),$18630,$18630,471,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),75%,0%,&lt; 1%,&lt; 1%,99%,&lt; 1%,&lt; 1%,&lt; 1%
universidad teologica del caribe,Road 848 Km. 0.5 Callejon Marquez Bo. Saint Just Trujillo Alto PR 00978-0901,(18.372 -66.00877),$6510,$6510,8,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,31%,&lt; 1%,&lt; 1%,100%,&lt; 1%,&lt; 1%,&lt; 1%
university at buffalo,12 Capen Hall Buffalo NY 14260,(43.00033 -78.78934),$26234,$44154,4309,('70%' '71%' '68%'),30750,('52%' '48%'),20%,Co-ed,('47%' '53%'),87%,16%,17%,9%,9%,&lt; 1%,10%,56%
university of advancing technology,2625 W Baseline Rd Tempe AZ 85283,(33.37761 -111.97534),$28566,$28566,39,('91%' '89%' '91%'),737,('27%' '73%'),13%,Co-ed,('25%' '75%'),61%,1%,2%,13%,15%,4%,17%,49%
university of akron,302 Buchtel Common Akron OH 44325,(41.07611 -81.5072),$22304,$22304,2163,('85%' '85%' '84%'),11332,('55%' '45%'),22%,Co-ed,('48%' '52%'),72%,2%,3%,12%,3%,&lt; 1%,7%,75%
university of akron wayne college,1901 Smucker Rd Orrville OH 44667,(40.86124 -81.78935),$6505,$6505,168,('86%' '83%' '89%'),359,('56%' '44%'),58%,Co-ed,('51%' '49%'),55%,0%,1%,3%,3%,&lt; 1%,5%,87%
university of alabama,739 University Blvd Tuscaloosa AL 35487,(33.2096 -87.54638),$25554,$45024,7593,('79%' '78%' '79%'),42421,('63%' '37%'),23%,Co-ed,('57%' '43%'),88%,2%,1%,11%,5%,&lt; 1%,4%,79%
university of alabama at birmingham uab,Administration Bldg Suite 1070 Birmingham AL 35294,(33.52131 -86.93405),$20875,$32707,2415,('89%' '90%' '84%'),11906,('65%' '35%'),23%,Co-ed,('65%' '35%'),82%,3%,6%,28%,3%,&lt; 1%,5%,58%
university of alabama in huntsville uah,301 Sparkman Dr Huntsville AL 35899,(34.72345 -86.6441),$22252,$34648,1204,('74%' '66%' '80%'),5781,('50%' '50%'),28%,Co-ed,('35%' '65%'),83%,3%,4%,11%,5%,1%,6%,73%
university of alaska anchorage,3211 Providence Drive Anchorage AK 99508,(61.18989 -149.81814),$21284,$37890,990,('69%' '69%' '68%'),3431,('57%' '43%'),42%,Co-ed,('55%' '45%'),67%,2%,7%,3%,7%,6%,17%,59%
university of alaska fairbanks uaf,1731 South Chandalar Drive Fairbanks AK 99775,(64.85648 -147.82283),$17788,$31924,678,('65%' '62%' '66%'),1402,('54%' '46%'),75%,Co-ed,('53%' '47%'),73%,1%,3%,3%,6%,20%,21%,47%
university of alaska southeast,11066 Auke Lake Way Juneau AK 99801,(58.3847 -134.64058),$16760,$30896,149,('56%' '54%' '59%'),464,('64%' '36%'),57%,Co-ed,('58%' '42%'),74%,1%,5%,1%,6%,13%,20%,55%
university of arizona,1401 E University Tucson AZ 85721,(32.23207 -110.95061),$26186,$50708,8436,('87%' '88%' '85%'),48065,('57%' '43%'),20%,Co-ed,('60%' '40%'),81%,7%,6%,4%,29%,1%,7%,53%
university of arkansas,Administration Bldg 425 Fayetteville AR 72701,(36.06191 -94.15861),$21516,$38332,6065,('83%' '83%' '80%'),21462,('60%' '40%'),34%,Co-ed,('58%' '42%'),84%,4%,3%,5%,9%,1%,5%,78%
university of arkansas at little rock ua little rock,2801 S University Ave Little Rock AR 72204,(34.72449 -92.34143),$17528,$28119,481,('58%' '56%' '59%'),3786,('65%' '35%'),22%,Co-ed,('55%' '45%'),68%,3%,2%,24%,5%,&lt; 1%,10%,58%
university of arkansas at monticello,Highway 425 South Monticello AR 71656,(33.62016 -91.80178),$15177,$21027,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),61%,1%,1%,27%,4%,1%,4%,64%
university of arkansas at pine bluff,1200 N University Mail Slot 4789 Pine Bluff AR 71601,(34.24077 -92.01858),$17022,$23892,677,('68%' '68%' '65%'),4699,('63%' '37%'),21%,Co-ed,('58%' '42%'),70%,1%,&lt; 1%,93%,1%,&lt; 1%,2%,4%
