Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
urban college of boston,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
victor valley college,18422 Bear Valley Rd Victorville CA 92395-5850,(34.47094 -117.26023),$1446,$9233,442,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),43%,0%,2%,9%,63%,&lt; 1%,6%,19%
victoria college,2200 E Red River Victoria TX 77901,(28.8164 -96.98003),$3840,$4872,246,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,2%,5%,51%,&lt; 1%,2%,39%
villa maria college,240 Pine Ridge Rd Buffalo NY 14225-3999,(42.91264 -78.79693),$25900,$25900,104,('76%' '72%' '79%'),307,('56%' '44%'),46%,Co-ed,('42%' '58%'),48%,0%,2%,36%,10%,&lt; 1%,11%,42%
villanova university,800 Lancaster Avenue Villanova PA 19085,(40.03492 -75.34001),$74406,$74406,1772,('25%' '23%' '26%'),24410,('55%' '45%'),29%,Co-ed,('55%' '45%'),96%,2%,6%,5%,8%,&lt; 1%,6%,75%
vincennes university,1002 N First St Vincennes IN 47591,(38.68662 -87.52088),$17357,$26161,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),56%,0%,2%,10%,11%,&lt; 1%,9%,68%
virginia commonwealth university vcu,910 W Franklin St Richmond VA 23284,(37.54947 -77.45282),$27598,$48936,4084,('93%' '94%' '90%'),17579,('63%' '37%'),25%,Co-ed,('66%' '34%'),85%,4%,13%,20%,9%,&lt; 1%,8%,49%
virginia highlands community college,100 VHCC Drive Abingdon VA 24212-0828,(36.69852 -82.00081),$4710,$10713,322,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),49%,0%,1%,2%,3%,&lt; 1%,4%,90%
virginia military institute vmi,VMI Parade Lexington VA 24450,(37.7893 -79.43893),$30032,$58686,461,('64%' '61%' '64%'),1549,('17%' '83%'),47%,Co-ed,('13%' '87%'),89%,2%,5%,6%,7%,1%,2%,80%
virginia peninsula community college,99 Thomas Nelson Drive Hampton VA 23666,(37.06142 -76.41555),$4806,$10809,507,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,4%,29%,10%,1%,11%,46%
virginia state university,1 Hayden Drive Petersburg VA 23806,(37.23415 -77.41991),$20698,$32453,920,('96%' '96%' '96%'),9978,('60%' '40%'),10%,Co-ed,('63%' '37%'),66%,1%,&lt; 1%,40%,1%,&lt; 1%,57%,1%
virginia tech,210 Burruss Hall 800 Drillfield Dr. Blacksburg VA 24061,(37.22596 -80.42344),$24284,$43967,6758,('56%' '60%' '53%'),42054,('43%' '57%'),28%,Co-ed,('44%' '56%'),93%,7%,11%,4%,6%,&lt; 1%,8%,70%
virginia union university,1500 N Lombardy St Richmond VA 23220,(37.56169 -77.45138),$22888,$22888,314,('94%' '93%' '93%'),4006,('59%' '41%'),8%,Co-ed,('46%' '54%'),68%,0%,&lt; 1%,90%,1%,&lt; 1%,7%,1%
virginia university of lynchburg,2058 Garfield Ave Lynchburg VA 24501,(37.39511 -79.15186),$19536,$19536,439,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),89%,0%,&lt; 1%,99%,1%,&lt; 1%,&lt; 1%,&lt; 1%
virginia wesleyan university,5817 Wesleyan Drive Virginia Beach VA 23455,(36.87232 -76.18383),$47174,$47174,341,('86%' '87%' '85%'),2076,('59%' '41%'),19%,Co-ed,('56%' '44%'),62%,3%,2%,25%,9%,1%,13%,50%
