Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
kings college london,n/a,n/a,unknown,unknown,,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
lake forest college,555 N Sheridan Road Lake Forest IL 60045,(42.2519 -87.83007),$62500,$62500,417,('64%' '66%' '61%'),4358,('55%' '45%'),15%,Co-ed,('52%' '48%'),83%,8%,6%,5%,15%,&lt; 1%,13%,60%
lake land college,5001 Lake Land Blvd Mattoon IL 61938,(39.417081 -88.378011),$8104,$13906,683,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,0%,1%,2%,3%,&lt; 1%,4%,89%
lake michigan college,2755 East Napier Avenue Benton Harbor MI 49022,(42.08939 -86.39118),$16880,$16880,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
lake region state college,1801 College Dr N Devils Lake ND 58301-1598,(48.1304 -98.86586),$11950,$11950,166,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,3%,1%,2%,4%,3%,14%,76%
lake sumter state college,9501 US Hwy 441 Leesburg FL 34788-8751,(28.8272 -81.79703),$3292,$13276,416,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
lake superior college,2101 Trinity Rd Duluth MN 55811-3399,(46.78282 -92.13878),$5616,$5616,375,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),59%,1%,1%,3%,4%,1%,8%,84%
lake superior state university,650 W Easterday Ave Sault Ste Marie MI 49783,(46.49169 -84.36271),$24716,$24716,373,('73%' '75%' '69%'),2411,('60%' '40%'),21%,Co-ed,('55%' '45%'),77%,5%,1%,1%,2%,9%,2%,84%
lake tahoe community college,One College Drive South Lake Tahoe CA 96150,(38.92683 -119.97175),$12381,$19761,89,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),44%,1%,6%,7%,35%,1%,8%,42%
lake washington institute of technology,11605 132nd Ave NE Kirkland WA 98034-8506,(47.70304 -122.16449),$4609,$10146,129,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
lakeland community college,7700 Clocktower Drive Kirtland OH 44094-5198,(41.63708 -81.36165),$4347,$8975,340,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,2%,12%,5%,&lt; 1%,10%,71%
lakeland university,W3718 South Drive Plymouth WI 53073,(43.84216 -87.88504),$42008,$42008,164,('80%' '86%' '77%'),1101,('29%' '71%'),19%,Co-ed,('38%' '62%'),67%,2%,5%,6%,5%,1%,6%,78%
lakes region community college,379 Belmont Road Laconia NH 03246,(43.50856 -71.46046),$17866,$26116,89,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,0%,&lt; 1%,1%,3%,1%,20%,75%
lakeshore technical college,1290 North Avenue Cleveland WI 53015-1414,(43.92458 -87.75383),$4484,$6599,173,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,0%,9%,3%,7%,1%,5%,76%
lamar community college,2401 S Main St Lamar CO 81052-3999,(38.0663 -102.61727),$11286,$13742,168,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,2%,&lt; 1%,5%,34%,2%,4%,55%
lamar state college orange,410 Front St Orange TX 77630,(30.09172 -93.73254),$3192,$13320,196,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,0%,1%,16%,11%,&lt; 1%,1%,71%
lamar state college port arthur,1500 Proctor St Port Arthur TX 77640,(29.88035 -93.92627),$2400,$7890,218,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,6%,28%,37%,&lt; 1%,2%,27%
lamar university,4400 MLK Blvd Beaumont TX 77705,(30.04567 -94.07443),$17754,$27546,1569,('88%' '90%' '84%'),6129,('60%' '40%'),29%,Co-ed,('55%' '45%'),64%,1%,5%,26%,17%,1%,4%,47%
lancaster bible college,901 Eden Rd Lancaster PA 17601-5036,(40.07333 -76.28789),$38574,$38574,146,('96%' '98%' '92%'),275,('55%' '45%'),58%,Co-ed,('59%' '41%'),80%,0%,2%,21%,4%,&lt; 1%,24%,50%
lander university,320 Stanley Avenue Greenwood SC 29649,(34.19765 -82.16609),$22350,$31950,899,('69%' '70%' '66%'),4795,('72%' '28%'),27%,Co-ed,('70%' '30%'),64%,2%,2%,27%,2%,&lt; 1%,7%,62%
landing school,286 River Rd Arundel ME 04046,(43.37995 -70.50382),$26012,$26012,13,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),100%,0%,6%,2%,2%,&lt; 1%,&lt; 1%,91%
landmark college,19 River Rd South Putney VT 05346,(42.97806 -72.51543),$75180,$75180,98,('53%' '47%' '55%'),469,('36%' '64%'),40%,Co-ed,('33%' '67%'),47%,2%,3%,3%,5%,&lt; 1%,23%,65%
lane college,545 Lane Ave Jackson TN 38301,(35.62771 -88.80684),$19400,$19400,405,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),50%,0%,&lt; 1%,93%,&lt; 1%,&lt; 1%,7%,&lt; 1%
lane community college,4000 E 30th Ave Eugene OR 97405-0640,(44.01421 -123.03507),$15827,$21839,840,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,2%,3%,2%,16%,2%,10%,67%
