('kennesaw state university ksu', 'kennesaw state university')
('kent state university', None)
('king university tennessee', 'king university')
('kings college london', None)
('kings college new york', None)
('kings college pennsylvania', None)
('kings university texas', None)
('laboure college', None)
('lac courte oreilles ojibwe college', 'lac courte oreilles ojibwe university')
('laguna college of art and design lcad', 'laguna college of art and design')
('landing school', 'the landing school')
('lasell college lc', 'lasell college')
('laurel technical institute hermitage', 'laurel technical institute')
('laurel technical institute meadville', None)
('life pacific college', None)
('lincoln university california', None)
('lincoln university missouri', None)
('lincoln university pennsylvania', None)
('linfield college', None)
('louisiana state university lsu', 'louisiana state university')
('louisiana tech university la tech', 'louisiana tech university la')
('loyola marymount university lmu', 'loyola marymount university')
('luther rice college and seminary', 'luther rice college seminary')
('magdalen college of the liberal arts', None)
('maine college of art', 'maine college of')
('maine maritime academy mma', 'maine maritime academy')
('manchester community college connecticut', None)
('manchester community college new hampshire', None)
('marian university indiana', 'marian university')
('marian university wisconsin', None)
('maryland institute college of art mica', 'maryland institute college of art')
('maryville university', None)
('massachusetts college of pharmacy and health sciences mcphs', None)
('massachusetts institute of technology mit', 'massachusetts institute of technology')
('massachusetts maritime academy mma', 'massachusetts maritime academy')
('miami international university of art and design art institute dallas', 'miami international university of art design art institute dallas')
('miami university', None)
('michigan technological university michigan tech', 'michigan technological university michigan')
('middle tennessee state university mtsu', 'middle tennessee state university')
('middlesex community college connecticut', None)
('middlesex community college massachusetts', None)
('millersville university', None)
('mills college northeastern university', 'mills college at northeastern university')
('milwaukee institute of art and design', 'milwaukee institute of art design')
('milwaukee school of engineering msoe', 'milwaukee school of engineering')
('minnesota north college hibbing', 'minnesota north college')
('minnesota north college itasca', 'minnesota north college   itasca')
('minnesota north college mesabi range virginia', 'minnesota north college   mesabi range virginia')
('minnesota north college rainy river', 'minnesota north college   rainy river')
('mississippi state university msu', 'mississippi state university')
('missouri university of science technology missouri s t', 'missouri university of science and technology')
('modern college of design', 'the modern college of design')
('molloy university', None)
('monmouth college illinois', None)
('monmouth university new jersey', None)
('montana state university msu', 'montana state university')
('montana tech of the university of montana montana tech', None)
('montclair state university msu', 'montclair state university')
('mount saint mary university', None)
('mount st mary university', None)
('national louis university nlu', 'national louis university')
('nazareth university', None)
('nebraska methodist college of nursing and allied health', 'nebraska methodist college of nursing allied health')
('new england conservatory of music', 'the new england conservatory of music')
('new jersey institute of technology njit', 'new jersey institute of technology')
('new mexico institute of mining and technology new mexico tech', 'new mexico institute of mining and technology')
('new mexico state university nmsu', 'new mexico state university')
('new school', 'the new school')
('new york institute of technology nyit', 'new york institute of technology')
('new york university nyu', 'new york university')
('nhti concord community college', "nhti concord's community college")
('north carolina a t state university n c a t', 'north carolina a t state university')
('north carolina central university nccu', 'north carolina central university')
('north carolina state university nc state', 'north carolina state university nc')
('north coast college', 'the north coast college')
('north dakota state university ndsu', 'north dakota state university')
('northeastern oklahoma a and m college', 'northeastern oklahoma a&m college')
('northern arizona university nau', 'northern arizona university')
('northern illinois university niu', 'northern illinois university')
('northwest college of art and design', 'northwest college of art design')
('northwestern college illinois', None)
('nova southeastern university nsu', 'nova southeastern university')
('ohio northern university onu', 'ohio northern university')
('ohio state university osu', 'ohio state university')
('ohio university', None)
('ohio valley university', None)
('oklahoma baptist university obu', 'oklahoma baptist university')
('oklahoma city university ocu', 'oklahoma city university')
('oklahoma state university osu', 'oklahoma state university')
('old dominion university odu', 'old dominion university')
('oregon institute of technology oregon tech', 'oregon institute of technology')
('oregon state university osu', 'oregon state university')
('pacific college of health and science california', 'pacific college of health and science')
('pacific college of health and science new york', None)
('pacific northwest college of art pnca', 'pacific northwest college of art')
('paul smiths college', None)
('penn commercial business technical school', 'penn commercial business/technical school')
('penn state brandywine', None)
('pennsylvania college of technology penn tech', 'pennsylvania college of technology')
('pennsylvania state university penn state', None)
('pennsylvania western university california', None)
('pennsylvania western university clarion', None)
('pennwest edinboro', None)
('pierce college fort steilacoom', None)
('pikes peak community college', None)
('pine technical and community college', 'pine technical community college')
('portland state university psu', 'portland state university')
('prairie view a m university pvamu', 'prairie view a m university')
('pratt institute', 'pratt institute main')
('prince george community college', "prince george's community college")
('purdue university', None)
('ramapo college of new jersey rcnj', 'ramapo college of new jersey')
('regis college massachusetts', None)
('rensselaer polytechnic institute rpi', 'rensselaer polytechnic institute')
('rhode island college ric', 'rhode island college')
('rhode island school of design risd', 'rhode island school of design')
('robert morris university rmu pennsylvania', 'robert morris university')
('rochester college', None)
('rochester institute of technology rit', 'rochester institute of technology')
('rocky mountain college rmc', 'rocky mountain college')
('roger williams university rwu', 'roger williams university')
('rose hulman institute of technology rhit', 'rose hulman institute of technology')
('rowan college south jersey cumberland campus', 'rowan college of south jersey cumberland campus')
('rutgers university new brunswick rutgers', 'rutgers university new brunswick')
('sacred heart university shu', 'sacred heart university')
('saint augustine s university', "saint augustine's university")
('saint johns university minnesota', 'saint johns university')
('saint joseph college of maine', "saint joseph's college of maine")
('saint louis university slu', 'saint louis university')
('saint martin s university st martin s', "saint martin's university")
('saint mary s college indiana', "saint mary's college")
('saint mary s college of california st mary s', "saint mary's college of california")
('saint mary university of minnesota', "saint mary's university of minnesota")
('saint peter university', "saint peter's university")
('sam houston state university shsu', 'sam houston state university')
('san diego state university sdsu', 'san diego state university')
('san francisco state university sf state', 'san francisco state university sf')
('san jose state university sjsu', 'san jose state university')
('savannah college of art and design scad', 'savannah college of art and design')
('school of the art institute of chicago saic', 'school of the art institute of chicago')
('schoolcraft college', None)
('seattle pacific university spu', 'seattle pacific university')
('seminar l moros bais yaakov', "seminar l'moros bais yaakov")
('sewanee the university of the south sewanee', 'the university of the south')
('sh or yoshuv rabbinical college', "sh'or yoshuv rabbinical college")
('sonoma state university ssu', 'sonoma state university')
('south hills school of business and technology', 'south hills school of business technology')
('southeast kentucky community and technical college', 'southeast kentucky community technical college')
('southeastern community college iowa', None)
('southeastern community college north carolina', None)
('southern baptist theological seminary', 'the southern baptist theological seminary')
('southern illinois university carbondale siu', 'southern illinois university carbondale')
('southern methodist university smu', 'southern methodist university')
('southern oregon university sou', 'southern oregon university')
('southern university and a and m college', 'southern university and a m college')
('southwest collegiate institute for the deaf', 'southwest college for the deaf')
('southwestern college california', None)
('southwestern college kansas', None)
('southwestern community college iowa', None)
('southwestern community college north carolina', None)
('spartan college of aeronautics and technology colorado', None)
('spartan college of aeronautics and technology oklahoma', None)
('st andrews university', 'st. andrews university')
('st augustine college', 'st. augustine college')
('st edward s university', "saint edward's university")
('st francis college new york', 'st francis college new')
('st francis college pennsylvania', 'st. francis college')
('st john fisher university', 'st. john fisher university')
('st john s college sjc maryland', None)
('st john s college sjc new mexico', 'st john s college sjc new')
('st john s university new york', "st. john's university new york")
('st john vianney college seminary', 'st. john vianney college seminary')
('st joseph college of nursing', "st. joseph's college of nursing")
('st joseph s university sju', "saint joseph's university")
('st josephs university new york', 'st josephs university new')
('st louis college of pharmacy', None)
('st luke college', "st luke's college")
('st mary s college of maryland', "st. mary's college of maryland")
('st mary s university texas', None)
('st michael s college', "saint michael's college")
('st paul school of nursing queens', "st paul's school of nursing queens")
('st paul school of nursing staten island', 'st paul school of nursing staten')
('st peter hospital college of nursing', "st. peter's hospital college of nursing")
('st philips college', "st philip's college")
('st thomas aquinas college', 'st. thomas aquinas college')
('st thomas university', 'st. thomas university')
('state university of new york at purchase suny purchase', 'state university of new york at purchase suny')
('sterling college kansas', None)
('sterling college vermont', None)
('stevens the institute of business and arts', 'stevens the institute of business arts')
('suny college at brockport', 'suny brockport')
('suny college at oswego', None)
('suny college of environmental science and forestry suny esf', 'suny college of environmental science and forestry')
('suny empire state college', None)
('tennessee state university tsu', 'tennessee state university')
('tennessee technological university tennessee tech', 'tennessee technological university tennessee')
('texas a and m international university', 'texas a m international university')
('texas a and m university san antonio', 'texas a&m university san antonio')
('texas a and m university texarkana', 'texas a&m university texarkana')
('texas a m university', None)
('texas christian university tcu', 'texas christian university')
('texas lutheran university tlu', 'texas lutheran university')
('texas southern university tsu', 'texas southern university')
('texas tech university ttu', 'texas tech university')
('texas woman s university twu', "texas woman's university")
('the citadel the military college of south carolina the citadel', 'citadel military college of south carolina')
('the college of new jersey tcnj', 'the college of new jersey')
('the masters university and seminary', "the master's university and seminary")
('the state university of new york at albany suny albany', None)
('the state university of new york at binghamton suny binghamton', None)
('the state university of new york at geneseo suny geneseo', None)
('the state university of new york at stony brook suny stony brook', None)
('the state university of new york polytechnic institute suny poly', None)
('touro college', None)
('trine university regional non traditional campuses', 'trine university regional/non traditional campuses')
('trinity college of puerto rico', 'trinity college of puerto')
('trinity international university tiu', 'trinity international university')
('troy university alabama', None)
('truman state university tsu', 'truman state university')
('tulane university', None)
('ucl university college london', None)
('union college kentucky', None)
('union college nebraska', None)
('union college new york', None)
('union institute and university', 'union institute university')
('united states air force academy air force', 'united states air force academy')
('united states coast guard academy coast guard', 'united states coast guard academy')
('united states military academy army', 'united states military academy')
('united states naval academy navy', 'united states naval academy')
('universidad ana g mendez carolina campus', 'universidad ana g. mendez carolina campus')
('universidad ana g mendez cupey campus', 'universidad ana g. mendez cupey campus')
('universidad ana g mendez gurabo campus', 'universidad ana g. mendez gurabo campus')
('university of akron', None)
('university of alabama', 'the university of alabama')
('university of alabama at birmingham uab', 'university of alabama at birmingham')
('university of alabama in huntsville uah', 'university of alabama in huntsville')
('university of alaska fairbanks uaf', 'university of alaska fairbanks')
('university of arkansas at little rock ua little rock', 'university of arkansas at little rock')
('university of california berkeley uc berkeley', 'university of california berkeley')
('university of california davis uc davis', 'university of california davis uc')
('university of california irvine uc irvine', 'university of california irvine')
('university of california los angeles ucla', 'university of california los angeles')
('university of california merced uc merced', 'university of california merced')
('university of california riverside uc riverside', 'university of california riverside')
('university of california san diego ucsd', 'university of california san diego')
('university of california santa barbara ucsb', 'university of california santa barbara')
('university of california santa cruz ucsc', 'university of california santa cruz')
('university of central florida ucf', 'university of central florida')
('university of charleston west virginia', 'university of charleston')
('university of cincinnati', 'university of cincinnati main campus')
('university of colorado boulder cu boulder', 'university of colorado boulder')
('university of colorado denver cu denver', 'university of colorado denver/anschutz medical campus')
('university of connecticut uconn', 'university of connecticut')
('university of findlay', 'the university of findlay')
('university of hawaii at manoa uh manoa', 'university of hawaii at manoa')
('university of illinois at chicago uic', 'university of illinois chicago')
('university of illinois at springfield', 'university of illinois springfield')
('university of illinois at urbana champaign uiuc', 'university of illinois urbana champaign')
('university of louisiana at lafayette ul lafayette', 'university of louisiana at lafayette')
('university of louisiana at monroe ulm', 'university of louisiana at monroe')
('university of maine at farmington umf', 'university of maine at farmington')
('university of maine at machias', 'university of maine   machias')
('university of maryland baltimore county umbc', 'university of maryland baltimore county')
('university of maryland college park maryland', 'university of maryland college park')
('university of maryland eastern shore umes', 'university of maryland eastern shore')
('university of massachusetts amherst umass amherst', 'university of massachusetts amherst')
('university of massachusetts boston umass boston', 'university of massachusetts boston')
('university of massachusetts dartmouth umass dartmouth', 'university of massachusetts dartmouth')
('university of massachusetts lowell umass lowell', 'university of massachusetts lowell')
('university of michigan', 'university of michigan flint')
('university of minnesota duluth umd', 'university of minnesota duluth')
('university of minnesota twin cities minnesota', 'university of minnesota twin cities')
('university of mississippi ole miss', 'university of mississippi ole')
('university of missouri kansas city umkc', 'university of missouri kansas city')
('university of missouri mizzou', 'university of missouri st louis')
('university of missouri st louis umsl', 'university of missouri st louis')
('university of montana', 'the university of montana')
('university of montana western umw', 'the university of montana western')
('university of nebraska lincoln unl', 'university of nebraska lincoln')
('university of nebraska omaha uno', 'university of nebraska at omaha')
('university of nevada las vegas unlv', 'university of nevada las vegas')
('university of new hampshire unh', 'university of new hampshire main campus')
('university of new haven unh', 'university of new haven')
('university of new mexico unm', 'university of new mexico main campus')
('university of new orleans uno', 'university of new orleans')
('university of north carolina at chapel hill unc', 'university of north carolina at chapel hill')
('university of north carolina at charlotte unc charlotte', 'university of north carolina at charlotte')
('university of north carolina at greensboro unc greensboro', 'university of north carolina at greensboro')
('university of north carolina at wilmington unc wilmington', 'university of north carolina wilmington')
('university of north carolina school of the arts uncsa', 'university of north carolina school of the arts')
('university of north dakota und', 'university of north dakota')
('university of north texas unt', 'university of north texas')
('university of northern colorado unc', 'university of northern colorado')
('university of oklahoma', None)
('university of pennsylvania upenn', 'university of pennsylvania')
('university of pittsburgh pitt', 'university of pittsburgh pittsburgh campus')
('university of rhode island uri', 'university of rhode island')
('university of san diego usd', 'university of san diego')
('university of san francisco usf', 'university of san francisco')
('university of south alabama south', 'university of south alabama')
('university of south carolina aiken usc aiken', 'university of south carolina aiken')
('university of south carolina upstate usc upstate', 'university of south carolina upstate')
('university of south carolina usc', None)
('university of south dakota usd', 'university of south dakota')
('university of south florida st petersburg', None)
('university of south florida usf', 'university of south florida')
('university of southern california usc', 'university of southern california')
('university of southern indiana usi', 'university of southern indiana')
('university of southern mississippi southern miss', 'university of southern mississippi')
('university of st thomas minnesota', None)
('university of st thomas texas', None)
('university of tampa', 'the university of tampa')
('university of tennessee', None)
('university of tennessee chattanooga', 'the university of tennessee chattanooga')
('university of tennessee martin', 'the university of tennessee martin')
('university of texas at arlington ut arlington', 'the university of texas at arlington')
('university of texas at austin ut austin', 'university of texas at austin ut')
('university of texas at dallas ut dallas', 'university of texas at dallas ut')
('university of texas at el paso utep', 'the university of texas at el paso')
('university of texas at san antonio utsa', 'the university of texas at san antonio')
('university of texas of the permian basin', 'the university of texas permian basin')
('university of the arts uarts', 'the university of the arts')
('university of vermont uvm', 'university of vermont')
('university of virginia college at wise', "university of virginia's college at wise")
('university of virginia uva', 'university of virginia')
('university of washington', None)
('university of west florida uwf', 'the university of west florida')
('university of west georgia uwg', 'university of west georgia')
('university of wisconsin madison wisconsin', 'university of wisconsin madison')
('university of wisconsin milwaukee uwm', 'university of wisconsin milwaukee')
('valdosta state university vsu', 'valdosta state university')
('valparaiso university valpo', 'valparaiso university')
('vaughn college of aeronautics and technology vaugn college', 'vaughn college of aeronautics and technology vaugn')
('vermilion community college', None)
('virginia commonwealth university vcu', 'virginia commonwealth university')
('virginia military institute vmi', 'virginia military institute')
('virginia tech', None)
('voorhees college', None)
('washington and jefferson college w j', 'washington jefferson college')
('washington state university wsu', 'washington state university')
('washington university in st louis washu', 'washington university in st louis')
('wayne state university wsu', 'wayne state university')
('wentworth institute of technology wit', 'wentworth institute of technology')
('west chester university wcupa', 'west chester university of pennsylvania')
('west texas a and m university', 'west texas a m university')
('west virginia university wvu', 'west virginia university')
('western michigan university wmu', 'western michigan university')
('western new england university wne', 'western new england university')
('western washington university wwu', 'western washington university')
('westminster college missouri', None)
('westminster college pennsylvania', 'westminster college')
('westminster university utah', None)
('wheaton college illinois', 'wheaton college')
('wheaton college massachusetts', 'wheaton college (massachusetts)')
('wichita state university wsu', 'wichita state university')
('worcester polytechnic institute wpi', 'worcester polytechnic institute')
('wright state university', None)
('yeshiva d monsey rabbinical college', "yeshiva d'monsey rabbinical college")
('yeshiva gedolah imrei yosef dpinka', "yeshiva gedolah imrei yosef d'spinka")
('yeshiva shaar hatorah', 'yeshivath shaar hatorah')
('york college', None)
