Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent Women,Percent Men,Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
Aaniiih Nakoda College,269 Blackfeet Avenue Harlem MT 59526,(48.48461 -108.75933),$2410,$2410,18,n/a,n/a,n/a,n/a,Co-ed,n/a,n/a,67%,0%,&lt; 1%,&lt; 1%,&lt; 1%,87%,&lt; 1%,13%
Abilene Christian University,1600 Campus Ct Abilene TX 79699,(32.46678 -99.70893),$50978,$50978,833,('70%' '71%' '66%'),8208,('65%' '35%'),14%,Co-ed,62%,38%,77%,4%,1%,9%,18%,&lt; 1%,6%,66%
