,name,operating,admission rate,student size,demographics men,demographics women,cost tuition in_state,cost tuition out_of_state,cost attendance academic_year,cost attendance program_year,race_ethnicity white,race_ethnicity black,race_ethnicity hispanic,race_ethnicity asian,race_ethnicity aian,race_ethnicity nhpi,race_ethnicity unknown,SAT Average,ACT Average,earnings 1_yr_after_completion median,earnings 4_yrs_after_completion median,retention_rate four_year full_time,retention_rate lt_four_year full_time,retention_rate four_year part_time,retention_rate lt_four_year part_time,retention_rate four_year full_time_pooled,retention_rate lt_four_year full_time_pooled,retention_rate four_year part_time_pooled,retention_rate lt_four_year part_time_pooled,retention_rate cohort four_year full_time_pooled,retention_rate cohort lt_four_year full_time_pooled,retention_rate cohort four_year part_time_pooled,retention_rate cohort lt_four_year part_time_pooled,retention_rate pooled_yrs_used full_time,retention_rate pooled_yrs_used part_time,retention_rate_suppressed four_year full_time_pooled,retention_rate_suppressed lt_four_year full_time_pooled,retention_rate_suppressed four_year part_time_pooled,retention_rate_suppressed lt_four_year part_time_pooled,retention_rate overall full_time,program_percentage agriculture,program_percentage resources,program_percentage architecture,program_percentage ethnic_cultural_gender,program_percentage communication,program_percentage communications_technology,program_percentage computer,program_percentage personal_culinary,program_percentage education,program_percentage engineering,program_percentage engineering_technology,program_percentage language,program_percentage family_consumer_science,program_percentage legal,program_percentage english,program_percentage humanities,program_percentage library,program_percentage biological,program_percentage mathematics,program_percentage military,program_percentage multidiscipline,program_percentage parks_recreation_fitness,program_percentage philosophy_religious,program_percentage theology_religious_vocation,program_percentage physical_science,program_percentage science_technology,program_percentage psychology,program_percentage security_law_enforcement,program_percentage public_administration_social_service,program_percentage social_science,program_percentage construction,program_percentage mechanic_repair_technology,program_percentage precision_production,program_percentage transportation,program_percentage visual_performing,program_percentage health,program_percentage business_marketing,program_percentage history,assoc agriculture,assoc resources,assoc architecture,assoc ethnic_cultural_gender,assoc communication,assoc communications_technology,assoc computer,assoc personal_culinary,assoc education,assoc engineering,assoc engineering_technology,assoc language,assoc family_consumer_science,assoc legal,assoc english,assoc humanities,assoc library,assoc biological,assoc mathematics,assoc military,assoc multidiscipline,assoc parks_recreation_fitness,assoc philosophy_religious,assoc theology_religious_vocation,assoc physical_science,assoc science_technology,assoc psychology,assoc security_law_enforcement,assoc public_administration_social_service,assoc social_science,assoc construction,assoc mechanic_repair_technology,assoc precision_production,assoc transportation,assoc visual_performing,assoc health,assoc business_marketing,assoc history,address,lat,lon
1701,East Mississippi Community College,1,,2565.0,0.4394,0.5606,3740.0,6740.0,12663.0,,0.462,0.4698,0.0253,0.0082,0.0133,0.0,0.0164,,,30714.0,31152.0,,0.5964,,0.1667,,0.5688,,0.2364,,1424.0,,110.0,2.0,2.0,,0.5688,,0.2364,0.5964,0.0104,0.0057,0.0019,0.0,0.0066,0.0,0.034,0.0613,0.0292,0.0283,0.0245,0.0009,0.0009,0.0,0.0047,0.1047,0.0,0.0283,0.0028,0.0,0.0,0.0104,0.0,0.0,0.0019,0.0,0.0189,0.0123,0.0113,0.016,0.0792,0.0538,0.067,0.0,0.0066,0.2528,0.1226,0.0028,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1512 Kemper Street,32.830246,-88.483516
1702,East Ohio College,1,,133.0,0.0602,0.9398,13964.0,13964.0,21184.0,,0.8872,0.0827,0.0,0.0,0.0,0.0,0.0075,,,26498.0,28117.0,,0.6875,,,,0.697,,,,66.0,,,2.0,,,0.697,,,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15258 State Route 170,40.6796,-80.572063
1703,East Stroudsburg University of Pennsylvania,1,0.9339,4275.0,0.4349,0.5651,11559.0,20097.0,22754.0,,0.5427,0.1937,0.164,0.0187,0.0014,0.0026,0.033,1060.0,23.0,35867.0,48241.0,0.6695,,0.4,,0.6913,,0.3913,,2070.0,,23.0,,2.0,4.0,0.6913,,,,0.6695,0.0,0.0,0.0,0.0,0.0326,0.0261,0.0364,0.0,0.0905,0.0,0.0,0.0047,0.0075,0.0,0.0196,0.0,0.0,0.0784,0.0103,0.0,0.0121,0.0933,0.0047,0.0,0.0121,0.0,0.0756,0.0588,0.0308,0.0466,0.0,0.0,0.0,0.0,0.0243,0.1931,0.1231,0.0196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200 Prospect Street,40.99599,-75.173905
1704,East Tennessee State University,1,0.874,9768.0,0.3808,0.6192,9438.0,12740.0,23178.0,,0.7641,0.0674,0.0396,0.0157,0.0012,0.0003,0.0593,1135.0,23.0,35272.0,42827.0,0.6677,,0.7692,,0.7254,,0.5763,,3409.0,,59.0,,2.0,4.0,0.7254,,0.5763,,0.6677,0.0,0.0,0.0,0.0,0.0364,0.0214,0.0299,0.0,0.0337,0.0023,0.0207,0.0023,0.0199,0.0,0.0218,0.0375,0.0,0.0417,0.0054,0.0,0.0,0.0501,0.0046,0.0,0.0199,0.0,0.0551,0.0325,0.0455,0.0272,0.0,0.0,0.0,0.0,0.036,0.3173,0.1251,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276 Gilbreath Drive,36.301643,-82.366954
1705,East Texas Baptist University,1,0.6452,1321.0,0.4868,0.5132,27980.0,27980.0,40227.0,,0.6056,0.2021,0.1226,0.0083,0.0273,0.0038,0.0106,,,33921.0,45334.0,0.6129,,,,0.6096,,0.1111,,748.0,,9.0,,2.0,4.0,0.6096,,,,0.6129,0.0,0.0,0.0,0.0,0.0612,0.0,0.0,0.0,0.1743,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0,0.0122,0.0,0.0,0.1254,0.0612,0.0183,0.0245,0.0031,0.0,0.052,0.0398,0.0,0.0092,0.0,0.0,0.0,0.0,0.0214,0.2049,0.1713,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One Tiger Drive,32.557847,-94.374488
1706,East Valley Institute of Technology,1,,252.0,0.4643,0.5357,,,,,0.4762,0.0952,0.369,0.0198,0.004,0.0079,0.0,,,33183.0,40444.0,,0.8571,,,,0.7877,,0.1803,,325.0,,61.0,4.0,2.0,,0.7877,,0.1803,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355,0.1371,0.1218,0.0,0.0,0.4315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601 W Main St,33.412268,-111.863966
1707,East West College of Natural Medicine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3808 N. Tamiami Tr,27.368451,-82.551571
1708,East West College of the Healing Arts,1,,198.0,0.2121,0.7879,,,,,0.7576,0.0606,0.1162,0.0354,0.0101,0.0101,0.0,,,21361.0,21766.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1515 SW Fifth Avenue, Suite 400",45.513392,-122.681029
1709,East-West Healing Arts Institute,1,,59.0,0.2542,0.7458,,,,33895.0,0.7458,0.0847,0.0847,0.0678,0.0,0.0169,0.0,,,24234.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6425 Normandy Lane,43.056,-89.491041
1710,East-West Healing Arts Institute - Milwaukee,1,,,,,,,,,,,,,,,,,,24234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,East-West University,1,,487.0,0.4456,0.5544,22950.0,22950.0,29337.0,,0.0329,0.4846,0.3368,0.0123,0.0021,0.0041,0.0164,,,28786.0,35276.0,0.28,,,,0.297,,,,340.0,,0.0,,2.0,4.0,0.297,,,,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.2097,0.0,0.0,0.0,0.2419,0.0,0.0,0.0,0.0484,0.0323,0.0,0.0645,0.0161,0.0,0.1452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,816 S Michigan Ave,41.871309,-87.624793
1712,Eastern Arizona College,1,,3187.0,0.4073,0.5927,2160.0,9120.0,16509.0,,0.6153,0.021,0.2294,0.0094,0.0624,0.0041,0.037,,,26241.0,42325.0,,0.585,,0.3588,,0.6535,,0.4586,,811.0,,859.0,2.0,2.0,,0.6535,,0.4586,0.585,0.0,0.0,0.0,0.0,0.0027,0.0027,0.0095,0.0245,0.0409,0.0,0.0381,0.0041,0.0,0.0,0.0,0.3134,0.0,0.0068,0.0014,0.0,0.015,0.0068,0.0,0.0,0.0041,0.0,0.0014,0.0177,0.0,0.0054,0.0123,0.0967,0.0313,0.0014,0.0354,0.2698,0.0586,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,615 N. Stadium Ave.,32.843664,-109.76234
1713,Eastern Center for Arts and Technology,1,1.0,135.0,0.1037,0.8963,,,,27651.0,0.2074,0.6815,0.0593,0.0519,0.0,0.0,0.0,,,56611.0,56815.0,,1.0,,,,0.8889,,1.0,,9.0,,6.0,4.0,4.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075 Terwood Rd,40.158437,-75.108649
1714,Eastern College of Health Vocations-Little Rock,0,,62.0,0.0161,0.9839,,,,17158.0,0.1613,0.8065,0.0323,0.0,0.0,0.0,0.0,,,21665.0,23490.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200 South University Avenue,34.75128,-92.341891
1715,Eastern College of Health Vocations-New Orleans,0,,26.0,0.0385,0.9615,,,,17353.0,0.1154,0.8462,0.0385,0.0,0.0,0.0,0.0,,,21665.0,23490.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201 Evans Rd. Bldg 400,29.944923,-90.180687
1716,Eastern Connecticut State University,1,0.732,3767.0,0.4242,0.5758,12304.0,25708.0,27163.0,,0.6358,0.0929,0.1282,0.026,0.0013,0.0005,0.068,,,35518.0,48137.0,0.7708,,0.6667,,0.7654,,0.6428,,1684.0,,28.0,,2.0,4.0,0.7654,,,,0.7708,0.0,0.0,0.0,0.0021,0.0826,0.0,0.0444,0.0,0.0331,0.0,0.0,0.0062,0.0,0.0,0.0537,0.0909,0.0,0.0455,0.0217,0.0,0.0,0.0258,0.0021,0.0,0.0124,0.0,0.1033,0.0,0.0486,0.1064,0.0,0.0,0.0,0.0,0.0548,0.0682,0.1684,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83 Windham St,41.721673,-72.218753
1717,Eastern Florida State College,1,,9855.0,0.3931,0.6069,2496.0,9739.0,10279.0,,0.6115,0.1112,0.1692,0.0243,0.003,0.0019,0.0113,,,33728.0,34898.0,,,,,,,,,0.0,,0.0,,4.0,4.0,,,,,,0.003,0.0,0.0,0.0,0.0016,0.0035,0.0485,0.0014,0.0086,0.0,0.0401,0.0,0.0224,0.0019,0.0,0.4262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743,0.0,0.035,0.0,0.0,0.0,0.0096,0.0007,0.0,0.0035,0.1389,0.1808,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3865 North Wickham Rd,28.170002,-80.670781
1718,Eastern Gateway Community College,1,,43555.0,0.3151,0.6849,4230.0,8022.0,7915.0,,0.4982,0.2131,0.1781,0.0271,0.0068,0.0049,0.0145,,,38739.0,37418.0,,0.6421,,0.5137,,0.6302,,0.4805,,2869.0,,10213.0,2.0,2.0,,0.6302,,0.4805,0.6421,0.0,0.0,0.0,0.0,0.0,0.0,0.0173,0.0,0.0941,0.0005,0.0013,0.0,0.001,0.0573,0.0,0.1746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1514,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0667,0.4346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,110 John Scott Highway,40.376215,-80.668798
1719,Eastern Illinois University,1,0.7174,4616.0,0.3869,0.6131,12562.0,14930.0,24506.0,,0.5758,0.2101,0.0934,0.0128,0.0019,0.0015,0.0466,1036.0,20.0,36775.0,45927.0,0.7351,,0.3636,,0.7361,,0.3846,,1804.0,,26.0,,2.0,4.0,0.7361,,,,0.7351,0.0,0.0,0.0,0.0,0.0834,0.0,0.0272,0.0,0.1143,0.0009,0.0075,0.0066,0.045,0.0,0.0244,0.0937,0.0,0.0487,0.0066,0.0,0.0356,0.074,0.0056,0.0,0.0131,0.0,0.0947,0.0122,0.0,0.0412,0.0,0.0,0.0,0.0,0.0525,0.0665,0.1265,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600 Lincoln Avenue,39.479843,-88.175658
1720,Eastern International College-Belleville,0,,220.0,0.1045,0.8955,17785.0,17785.0,32540.0,,0.1318,0.4636,0.2955,0.0636,0.0,0.0,0.0318,,,48369.0,38228.0,0.4615,,1.0,,0.6327,,0.7143,,49.0,,14.0,,4.0,4.0,0.6327,,,,0.4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,251 Washington Ave,40.789635,-74.152439
1721,Eastern International College-Jersey City,1,,369.0,0.1111,0.8889,18046.0,18046.0,25095.0,,0.1707,0.3577,0.2547,0.1355,0.0027,0.0054,0.0542,,,48369.0,38228.0,0.4,,,,0.6731,,0.6522,,52.0,,23.0,,4.0,4.0,0.6731,,,,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,684 Newark Ave,40.735178,-74.060452
1722,Eastern Iowa Community College District,1,,3435.0,0.3389,0.6611,4296.0,5904.0,14476.0,,0.6734,0.1051,0.1298,0.0204,0.0026,0.0006,0.016,,,35793.0,39633.0,,0.5538,,0.4726,,0.5943,,0.4934,,1410.0,,458.0,2.0,2.0,,0.5943,,0.4934,0.5538,0.0182,0.0,0.0,0.0,0.0,0.0,0.0325,0.0095,0.0,0.0,0.0428,0.0056,0.0079,0.0,0.0,0.4251,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0008,0.0,0.0,0.0048,0.0,0.0,0.0,0.0619,0.0753,0.0,0.0,0.2324,0.0817,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,101 W Third Street,41.522179,-90.574459
1723,Eastern Kentucky University,1,0.9835,10987.0,0.4084,0.5916,9752.0,20024.0,23395.0,,0.8186,0.06,0.0462,0.012,0.0018,0.0009,0.0094,1084.0,21.0,36768.0,43909.0,0.7386,,0.3585,,0.7688,,0.3929,,3546.0,,84.0,,2.0,2.0,0.7688,,0.3929,,0.7386,0.0158,0.0064,0.0,0.0,0.0237,0.0,0.0068,0.0,0.0515,0.0,0.0688,0.0053,0.0143,0.0177,0.0116,0.077,0.0,0.0346,0.006,0.0132,0.0113,0.0425,0.0004,0.0,0.0177,0.0,0.0834,0.1244,0.0244,0.0248,0.0,0.0,0.0,0.0173,0.0233,0.1484,0.1214,0.0083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,521 Lancaster Ave,37.740845,-84.300796
1724,Eastern Maine Community College,1,,1289.0,0.4577,0.5423,3865.0,6745.0,15946.0,,0.8867,0.0178,0.0295,0.0116,0.0124,0.0,0.0124,,,35605.0,39133.0,,0.5628,,0.2935,,0.5316,,0.3185,,553.0,,157.0,2.0,2.0,,0.5316,,0.3185,0.5628,0.0,0.0,0.0,0.0,0.0,0.0,0.0632,0.0141,0.0539,0.0,0.0164,0.0,0.0,0.0,0.0,0.0703,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0492,0.0,0.0843,0.0562,0.0492,0.0,0.0,0.3677,0.1335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,354 Hogan Rd,44.826048,-68.74445
1725,Eastern Mennonite University,1,0.9523,916.0,0.4039,0.5961,39990.0,39990.0,52686.0,,0.6528,0.1048,0.0797,0.0251,0.0,0.0022,0.0448,1346.0,30.0,42679.0,49005.0,0.7685,,1.0,,0.7799,,1.0,,418.0,,4.0,,2.0,4.0,0.7799,,,,0.7685,0.0,0.0,0.0,0.0,0.0221,0.0,0.0221,0.0,0.0,0.0177,0.0,0.0044,0.0,0.0,0.0133,0.115,0.0,0.0575,0.0177,0.0,0.0221,0.0487,0.0044,0.0044,0.0044,0.0,0.031,0.0,0.0221,0.0044,0.0,0.0,0.0,0.0,0.0265,0.3673,0.1903,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1200 Park Rd,38.471134,-78.880326
1726,Eastern Michigan University,1,0.8461,12344.0,0.3882,0.6118,15700.0,15700.0,25802.0,,0.5971,0.1729,0.083,0.0322,0.0032,0.0006,0.0488,1061.0,22.0,40552.0,48303.0,0.6949,,0.3731,,0.7074,,0.4167,,3978.0,,96.0,,2.0,2.0,0.7074,,0.4167,,0.6949,0.0,0.006,0.0025,0.0031,0.0493,0.0031,0.0424,0.0,0.0719,0.005,0.027,0.006,0.0019,0.0035,0.0091,0.0,0.0,0.0395,0.0038,0.0,0.0455,0.0304,0.0019,0.0,0.0072,0.0,0.0593,0.0,0.058,0.0612,0.0,0.0,0.0,0.0091,0.0483,0.2225,0.1763,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900 Oakwood St.,42.251675,-83.627443
1727,Eastern Nazarene College,1,0.6408,491.0,0.5173,0.4827,27212.0,27212.0,38283.0,,0.4216,0.165,0.2159,0.0285,0.002,0.002,0.0061,1135.0,22.0,37958.0,43869.0,0.7541,,,,0.7036,,,,253.0,,0.0,,2.0,4.0,0.7036,,,,0.7541,0.0,0.0083,0.0,0.0,0.075,0.0,0.0083,0.0,0.075,0.0417,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.1083,0.0,0.0,0.0083,0.0833,0.0167,0.0167,0.0333,0.0,0.125,0.0667,0.0333,0.0,0.0,0.0,0.0,0.0,0.0083,0.0,0.2583,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23 E Elm Ave,42.271228,-71.011079
