,name,operating,admission rate,student size,demographics men,demographics women,cost tuition in_state,cost tuition out_of_state,cost attendance academic_year,cost attendance program_year,race_ethnicity white,race_ethnicity black,race_ethnicity hispanic,race_ethnicity asian,race_ethnicity aian,race_ethnicity nhpi,race_ethnicity unknown,SAT Average,ACT Average,earnings 1_yr_after_completion median,earnings 4_yrs_after_completion median,retention_rate four_year full_time,retention_rate lt_four_year full_time,retention_rate four_year part_time,retention_rate lt_four_year part_time,retention_rate four_year full_time_pooled,retention_rate lt_four_year full_time_pooled,retention_rate four_year part_time_pooled,retention_rate lt_four_year part_time_pooled,retention_rate cohort four_year full_time_pooled,retention_rate cohort lt_four_year full_time_pooled,retention_rate cohort four_year part_time_pooled,retention_rate cohort lt_four_year part_time_pooled,retention_rate pooled_yrs_used full_time,retention_rate pooled_yrs_used part_time,retention_rate_suppressed four_year full_time_pooled,retention_rate_suppressed lt_four_year full_time_pooled,retention_rate_suppressed four_year part_time_pooled,retention_rate_suppressed lt_four_year part_time_pooled,retention_rate overall full_time,program_percentage agriculture,program_percentage resources,program_percentage architecture,program_percentage ethnic_cultural_gender,program_percentage communication,program_percentage communications_technology,program_percentage computer,program_percentage personal_culinary,program_percentage education,program_percentage engineering,program_percentage engineering_technology,program_percentage language,program_percentage family_consumer_science,program_percentage legal,program_percentage english,program_percentage humanities,program_percentage library,program_percentage biological,program_percentage mathematics,program_percentage military,program_percentage multidiscipline,program_percentage parks_recreation_fitness,program_percentage philosophy_religious,program_percentage theology_religious_vocation,program_percentage physical_science,program_percentage science_technology,program_percentage psychology,program_percentage security_law_enforcement,program_percentage public_administration_social_service,program_percentage social_science,program_percentage construction,program_percentage mechanic_repair_technology,program_percentage precision_production,program_percentage transportation,program_percentage visual_performing,program_percentage health,program_percentage business_marketing,program_percentage history,assoc agriculture,assoc resources,assoc architecture,assoc ethnic_cultural_gender,assoc communication,assoc communications_technology,assoc computer,assoc personal_culinary,assoc education,assoc engineering,assoc engineering_technology,assoc language,assoc family_consumer_science,assoc legal,assoc english,assoc humanities,assoc library,assoc biological,assoc mathematics,assoc military,assoc multidiscipline,assoc parks_recreation_fitness,assoc philosophy_religious,assoc theology_religious_vocation,assoc physical_science,assoc science_technology,assoc psychology,assoc security_law_enforcement,assoc public_administration_social_service,assoc social_science,assoc construction,assoc mechanic_repair_technology,assoc precision_production,assoc transportation,assoc visual_performing,assoc health,assoc business_marketing,assoc history,address,lat,lon
10,Abraham Baldwin Agricultural College,1,0.7536,3323.0,0.4117,0.5883,3565.0,10471.0,13223.0,,0.8017,0.0843,0.0819,0.0072,0.0024,0.0003,0.0,1026.0,19.0,41665.0,42179.0,0.6515,,0.3958,,0.6957,,0.4267,,1081.0,,75.0,,2.0,2.0,0.6957,,0.4267,,0.6515,0.2186,0.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0189,0.2264,0.0,0.0377,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0047,0.3255,0.0582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2802 Moore Hwy,31.481889,-83.528281
11,Abraham Lincoln University,1,,63.0,0.4444,0.5556,6440.0,6440.0,,,0.3175,0.0952,0.2857,0.0952,0.0476,0.0,0.1429,,,,,,,,,0.0,,,,2.0,,0.0,,4.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"100 West Broadway, Suite 600",34.146294,-118.256726
12,Academia Serrant Inc,1,,141.0,0.2979,0.7021,,,,12100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,13040.0,17607.0,,0.8718,,,,0.8276,,,,116.0,,,2.0,,,0.8276,,,0.8718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.0,0.0,0.0,0.0,0.1345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0,0.0,0.0,0.1513,0.0,0.1345,0.0,0.0336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7033 Mendez Vigo,18.009658,-66.61529
13,Academy College,1,,82.0,0.9146,0.0854,18644.0,18644.0,38182.0,,0.5732,0.0122,0.0122,0.0366,0.0244,0.0,0.3415,,,44524.0,58440.0,1.0,,,,0.75,,1.0,,12.0,,2.0,,4.0,4.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9231,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"1600 W. 82nd Street, Suite 100",44.855722,-93.299809
14,Academy Di Capelli -,1,,,,,,,,,,,,,,,,,,15714.0,22405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Academy Di Capelli-School of Cosmetology,1,,157.0,0.1338,0.8662,,,,16279.0,0.4204,0.2994,0.2548,0.0191,0.0,0.0,0.0064,,,15714.0,22405.0,,0.5077,,0.1154,,0.3509,,0.0645,,208.0,,124.0,2.0,2.0,,0.3509,,0.0645,0.5077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950 Yale Ave Unit 20,41.490402,-72.806335
16,Academy di Firenze,0,,11.0,0.0909,0.9091,,,,16317.0,0.3636,0.0,0.4545,0.0,0.0,0.0,0.0,,,,,,0.8889,,,,0.8438,,0.0,,32.0,,1.0,4.0,4.0,,0.8438,,,0.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149 West Main Street,42.723871,-114.519826
17,Academy for Careers and Technology,1,,48.0,0.0208,0.9792,,,,12327.0,0.1667,0.7917,0.0,0.0,0.0,0.0417,0.0,,,41276.0,,,0.5714,,,,0.6143,,,,70.0,,,2.0,,,0.6143,,,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2697 E Hwy 76,34.186433,-79.340157
18,Academy for Five Element Acupuncture,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305 SE 2nd Ave,29.650075,-82.321994
19,Academy for Jewish Religion-California,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"C/O LMU, 1LMU Drive, STE 3400",33.97085,-118.415744
20,Academy for Nursing and Health Occupations,1,,452.0,0.0885,0.9115,,,,29037.0,0.0708,0.7987,0.1195,0.0066,0.0,0.0,0.0022,,,42630.0,57852.0,,0.8,,,,0.8649,,,,37.0,,,4.0,,,0.8649,,,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5154 Okeechobee Blvd Ste 201,26.70653,-80.121497
21,Academy for Salon Professionals,1,,114.0,0.0263,0.9737,,,,18131.0,0.2719,0.0263,0.5965,0.0088,0.0175,0.0351,0.0,,,18811.0,21319.0,,1.0,,0.8,,0.8485,,0.8333,,33.0,,18.0,4.0,4.0,,0.8485,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19520 Nordhoff St. Unit 9,34.23396,-118.558215
22,Academy of Allied Health Careers,1,,76.0,0.0132,0.9868,,,,,0.75,0.1579,0.0526,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600 Brainerd Road c-3,35.008533,-85.214313
23,Academy of Art University,1,,5294.0,0.4343,0.5657,25424.0,25424.0,41301.0,,0.2055,0.095,0.146,0.0518,0.0045,0.0032,0.2637,,,29736.0,42662.0,0.6899,,0.4088,,0.6987,,0.4225,,697.0,,774.0,,2.0,2.0,0.6987,,0.4225,,0.6899,0.0,0.0,0.0034,0.0,0.0398,0.1534,0.1784,0.0,0.0114,0.0,0.1432,0.0,0.0841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614,0.0,0.025,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,79 New Montgomery,37.787943,-122.400578
